check_name,sku_id,location_id,timestamp,issue_type,severity,auto_fix_applied,comments
negative_stock,SKU1072,LOC2,2024-03-20,missing,low,1,Company significant for be main value decade.
missing_prices,SKU1087,LOC1,2024-03-07,inconsistency,low,1,Serve able pattern find response.
duplicate_txn,SKU1056,LOC6,2024-11-22,duplicate,low,0,Card expect budget what glass into machine tell.
missing_prices,SKU1108,LOC6,2024-04-15,missing,low,1,Eight experience tax foot movement century leave choice here doctor.
missing_prices,SKU1015,LOC3,2024-07-08,missing,high,0,Although maintain task player economy last whatever total.
null_customer,SKU1000,LOC1,2024-03-07,duplicate,high,1,Against wind those could feeling control reflect ok.
missing_prices,SKU1078,LOC2,2024-07-05,outlier,low,0,Something hit attorney protect explain add tonight leave laugh.
null_customer,SKU1069,LOC1,2024-01-22,outlier,low,0,Dog first goal others animal scientist.
null_customer,SKU1106,LOC3,2024-01-26,inconsistency,high,0,People cultural approach stock medical ok rise personal grow wish.
negative_stock,SKU1060,LOC1,2024-02-01,missing,high,0,Middle prepare guess good low everything together throw.
null_customer,SKU1013,LOC1,2024-04-24,outlier,high,0,Of serve price industry test teach dinner test sound anything.
duplicate_txn,SKU1102,LOC6,2024-05-27,duplicate,low,1,Pressure baby rate season recent.
missing_prices,SKU1004,LOC3,2024-10-11,inconsistency,medium,0,Kitchen necessary himself party value against former boy some so.
null_customer,SKU1101,LOC5,2024-05-28,outlier,medium,1,Offer character news raise doctor.
null_customer,SKU1096,LOC4,2024-01-16,outlier,medium,1,Artist cause event affect within.
duplicate_txn,SKU1065,LOC2,2024-04-08,duplicate,medium,0,Understand toward indeed social president page along.
negative_stock,SKU1074,LOC6,2024-10-07,inconsistency,high,1,Southern role force never yet.
null_customer,SKU1019,LOC2,2024-11-25,inconsistency,medium,1,Media seem leg second involve mother ready performance land watch.
null_customer,SKU1097,LOC6,2024-12-14,outlier,medium,0,Foreign standard push ability how reach.
duplicate_txn,SKU1031,LOC4,2024-07-11,duplicate,medium,0,Green worker method road born town.
missing_prices,SKU1085,LOC5,2024-01-26,outlier,low,1,Participant happen process final per listen player.
null_customer,SKU1051,LOC5,2024-03-31,missing,high,1,Billion others stop week speech word itself hour.
null_customer,SKU1032,LOC3,2024-02-20,duplicate,low,1,Home size four reason.
negative_stock,SKU1115,LOC2,2024-05-11,duplicate,high,1,Inside pay amount popular way economic moment approach movie rate.
missing_prices,SKU1022,LOC4,2024-07-04,duplicate,high,1,Lose between operation above wide according table.
missing_prices,SKU1065,LOC4,2024-09-26,duplicate,medium,0,Also member herself light always note east prove few.
negative_stock,SKU1072,LOC1,2024-02-14,inconsistency,low,1,Across particular federal news more structure.
duplicate_txn,SKU1035,LOC3,2024-09-18,duplicate,high,1,House move cold result nice.
missing_prices,SKU1001,LOC2,2024-02-16,missing,medium,1,Friend break brother stay relationship receive including board.
negative_stock,SKU1005,LOC4,2024-09-07,inconsistency,high,0,Strategy old discussion stop middle.
duplicate_txn,SKU1075,LOC6,2024-10-25,inconsistency,high,0,Seat move give stuff century everything.
missing_prices,SKU1074,LOC3,2024-10-29,outlier,medium,0,Center song through international board compare town piece seek.
missing_prices,SKU1025,LOC3,2024-08-09,duplicate,medium,1,Cut professional bring eight include.
negative_stock,SKU1115,LOC2,2024-02-21,missing,high,0,Ball security tax father city message deal system.
negative_stock,SKU1097,LOC2,2024-08-04,duplicate,medium,1,Pay authority bag however real.
negative_stock,SKU1075,LOC6,2024-11-08,outlier,medium,0,Measure skin three too organization.
missing_prices,SKU1043,LOC6,2024-02-13,inconsistency,low,0,Once road garden buy side current phone right size class opportunity.
missing_prices,SKU1035,LOC1,2024-09-02,missing,low,1,Share its look member record seek.
missing_prices,SKU1078,LOC4,2024-10-17,inconsistency,low,0,Field arm few owner call at this able.
null_customer,SKU1102,LOC3,2024-02-01,duplicate,medium,1,Different floor ok rise none material player.
