date,sku_id,location_id,regular_price,promo_price,discount_percent,promo_type,competitor_price
2024-01-01,SKU1000,LOC4,1245,,0.0,Flat Off,1093
2024-01-02,SKU1000,LOC5,1245,,0.0,Flat Off,1175
2024-01-03,SKU1000,LOC3,1245,,0.0,Flat Off,1268
2024-01-04,SKU1000,LOC1,1246,,0.0,BOGO,1220
2024-01-05,SKU1000,LOC3,1245,,0.0,None,1168
2024-01-06,SKU1000,LOC3,1245,1245.0,0.0,Bundle,1065
2024-01-07,SKU1000,LOC1,1245,,0.0,Bundle,1230
2024-01-08,SKU1000,LOC1,1243,,0.0,Seasonal,1322
2024-01-09,SKU1000,LOC2,1245,,0.0,Flat Off,1288
2024-01-10,SKU1000,LOC1,1244,,0.0,Bundle,1145
2024-01-11,SKU1000,LOC4,1242,,0.0,Seasonal,1113
2024-01-12,SKU1000,LOC4,1245,,0.0,None,1272
2024-01-13,SKU1000,LOC3,1243,,0.0,BOGO,1157
2024-01-14,SKU1000,LOC2,1244,,0.0,Seasonal,1209
2024-01-15,SKU1000,LOC6,1243,,0.0,Seasonal,1269
2024-01-16,SKU1000,LOC2,1245,,0.0,Flat Off,1293
2024-01-17,SKU1000,LOC2,1245,,0.0,Bundle,1211
2024-01-18,SKU1000,LOC3,1247,,0.0,Flat Off,1371
2024-01-19,SKU1000,LOC3,1245,,0.0,BOGO,1315
2024-01-20,SKU1000,LOC6,1246,,0.0,Seasonal,1315
2024-01-21,SKU1000,LOC5,1243,,0.0,Flat Off,1273
2024-01-22,SKU1000,LOC3,1247,,0.0,Seasonal,1280
2024-01-23,SKU1000,LOC6,1243,,0.0,Bundle,1342
2024-01-24,SKU1000,LOC6,1243,1118.0,10.0,Flat Off,1408
2024-01-25,SKU1000,LOC2,1245,933.0,25.0,None,1232
2024-01-26,SKU1000,LOC2,1242,,0.0,Seasonal,1136
2024-01-27,SKU1000,LOC4,1245,,0.0,Seasonal,1222
2024-01-28,SKU1000,LOC4,1245,,0.0,Seasonal,1310
2024-01-29,SKU1000,LOC3,1245,,0.0,BOGO,1217
2024-01-30,SKU1000,LOC6,1243,,0.0,BOGO,1390
2024-01-31,SKU1000,LOC2,1247,,0.0,Bundle,1415
2024-02-01,SKU1000,LOC5,1241,,0.0,BOGO,1170
2024-02-02,SKU1000,LOC5,1246,,0.0,Bundle,1161
2024-02-03,SKU1000,LOC6,1244,932.0,25.0,Seasonal,1093
2024-02-04,SKU1000,LOC2,1248,,0.0,None,1142
2024-02-05,SKU1000,LOC1,1245,,0.0,BOGO,1120
2024-02-06,SKU1000,LOC3,1245,,0.0,None,1228
2024-02-07,SKU1000,LOC5,1247,,0.0,Seasonal,1068
2024-02-08,SKU1000,LOC2,1247,,0.0,None,1364
2024-02-09,SKU1000,LOC2,1244,,0.0,Seasonal,1319
2024-02-10,SKU1000,LOC2,1245,,0.0,None,1259
2024-02-11,SKU1000,LOC5,1248,,0.0,Seasonal,1335
