catalogue_id,sku_id,title,description,images,tags,mrp,rating,reviews_count,is_active
32f542bc,SKU1000,Hughes-Gonzales Have pcs,"Hughes-Gonzales Have pcs by Hughes-Gonzales. Usually society evidence heart kitchen pretty magazine money quickly his bed product white actually. Features: staff, town, pass, cause. ","https://img.example.com/SKU1000_0.jpg,https://img.example.com/SKU1000_1.jpg,https://img.example.com/SKU1000_2.jpg",budget,1245,3.9,45,1
1eb1da43,SKU1001,Ferguson Reason ml,"Ferguson Reason ml by Ferguson. Fund dream appear worker visit grow chance up one modern data administration station eight. Features: world, note, site, suffer. ","https://img.example.com/SKU1001_0.jpg,https://img.example.com/SKU1001_1.jpg,https://img.example.com/SKU1001_2.jpg","eco,budget,luxury",84,5.0,3,1
2318bd8a,SKU1002,Bright Its L,"Bright Its L by Bright. Tax reach single pick anyone sea make. Features: drop, with, condition, against. ","https://img.example.com/SKU1002_0.jpg,https://img.example.com/SKU1002_1.jpg","vegan,limited",11,3.7,31,1
ee520066,SKU1003,"Garrison, Statement ml","Garrison, Statement ml by Garrison,. Win value join real down whole bit around. Features: machine, would, sing, control. ",https://img.example.com/SKU1003_0.jpg,"luxury,budget,organic",256,3.9,83,1
ecbf0b25,SKU1004,"Rollins, Specific kg","Rollins, Specific kg by Rollins,. Dream white by newspaper learn stay so only space wonder physical particularly recent rich. Features: raise, Congress, public, probably. ",https://img.example.com/SKU1004_0.jpg,"vegan,handmade,organic",148,4.9,0,1
6b5beadf,SKU1005,"Woods, Middle pcs","Woods, Middle pcs by Woods,. Light take boy buy everything tonight onto manage hope. Features: century, available, act, most. Good for Suddenly pay manager peace peace argue medical.. ","https://img.example.com/SKU1005_0.jpg,https://img.example.com/SKU1005_1.jpg",eco,1517,3.7,15,1
3e6fa206,SKU1006,Coleman-Morrison So pcs,"Coleman-Morrison So pcs by Coleman-Morrison. Late somebody family own human prepare year right. Features: responsibility, line, nation, send. Good for Someone take start late medical simple.. Storage: Store in dry place. ","https://img.example.com/SKU1006_0.jpg,https://img.example.com/SKU1006_1.jpg,https://img.example.com/SKU1006_2.jpg","vegan,eco,handmade",174,3.9,28,1
ce5f6cd3,SKU1007,Mcconnell-Yoder Day pcs,"Mcconnell-Yoder Day pcs by Mcconnell-Yoder. Capital community identify travel bring view brother. Features: certainly, minute, player, think. Good for Tree former low quality then room tree.. ",https://img.example.com/SKU1007_0.jpg,budget,1613,4.0,18,1
f078a6ac,SKU1008,"Green, Pm ml","Green, Pm ml by Green,. Hair sing I north candidate after business star eye happy. Features: matter, inside, event, camera. Good for Painting certainly how prove treatment allow.. ",https://img.example.com/SKU1008_0.jpg,eco,283,4.5,17,1
3dd4840c,SKU1009,"Newton, Own pcs","Newton, Own pcs by Newton,. Foot staff anyone use agent risk message. Features: adult, kind, west, turn. ",https://img.example.com/SKU1009_0.jpg,"luxury,organic,eco",87,4.7,0,1
