po_id,sku_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,freight_cost,payment_terms
PO100000,SKU1095,SUP508,2024-10-12,2024-10-23,2024-10-23,515,192.69,Net30
PO100001,SKU1041,SUP500,2024-04-03,2024-04-21,2024-04-22,145,187.36,Net45
PO100002,SKU1058,SUP511,2025-05-18,2025-05-25,2025-05-27,457,178.82,Prepaid
PO100003,SKU1054,SUP506,2025-09-04,2025-09-09,2025-09-09,340,155.21,Net30
PO100004,SKU1070,SUP504,2024-09-15,2024-09-27,2024-09-29,401,198.97,Net45
PO100005,SKU1097,SUP501,2024-01-20,2024-02-13,2024-02-14,906,199.95,Net30
PO100006,SKU1002,SUP503,2025-01-03,2025-01-11,2025-01-11,517,116.0,Prepaid
PO100007,SKU1054,SUP506,2024-08-17,2024-08-29,2024-08-30,953,192.95,Net45
PO100008,SKU1038,SUP505,2025-10-23,2025-11-04,2025-11-04,145,183.88,Net45
PO100009,SKU1046,SUP508,2025-06-05,2025-06-17,2025-06-17,714,63.29,Prepaid
PO100010,SKU1006,SUP512,2024-05-29,2024-06-20,2024-06-21,823,194.78,Prepaid
PO100011,SKU1054,SUP502,2024-10-12,2024-10-29,2024-10-31,538,60.22,Prepaid
PO100012,SKU1016,SUP507,2025-08-31,2025-09-07,2025-09-07,58,175.3,Net45
PO100013,SKU1043,SUP503,2024-07-28,2024-08-16,2024-08-16,185,91.67,Net30
PO100014,SKU1009,SUP507,2024-07-06,2024-07-17,2024-07-17,154,12.85,Prepaid
PO100015,SKU1040,SUP511,2025-09-20,2025-10-11,2025-10-12,842,90.96,Prepaid
PO100016,SKU1082,SUP504,2025-11-12,2025-12-06,2025-12-07,674,148.56,Net45
PO100017,SKU1021,SUP514,2024-01-05,2024-01-18,2024-01-21,816,87.96,Prepaid
PO100018,SKU1117,SUP513,2025-08-03,2025-08-16,2025-08-16,272,85.71,Prepaid
PO100019,SKU1114,SUP503,2024-10-18,2024-10-22,2024-10-23,797,58.39,Net30
PO100020,SKU1044,SUP513,2023-12-10,2023-12-29,2023-12-29,333,38.13,Net45
PO100021,SKU1010,SUP507,2024-06-03,2024-06-08,2024-06-08,672,31.0,Net30
PO100022,SKU1099,SUP500,2025-01-23,2025-02-05,2025-02-05,358,111.73,Prepaid
PO100023,SKU1066,SUP516,2025-05-18,2025-06-07,2025-06-08,711,73.4,Prepaid
PO100024,SKU1100,SUP507,2025-02-27,2025-03-20,2025-03-22,561,12.44,Net45
PO100025,SKU1076,SUP502,2025-06-06,2025-06-29,2025-07-01,419,111.74,Net30
PO100026,SKU1016,SUP512,2024-08-01,2024-08-07,2024-08-08,424,108.86,Net45
PO100027,SKU1087,SUP505,2024-10-11,2024-10-25,2024-10-27,838,21.39,Prepaid
PO100028,SKU1002,SUP502,2024-09-19,2024-10-02,2024-10-02,994,192.82,Prepaid
PO100029,SKU1101,SUP512,2024-06-28,2024-07-09,2024-07-10,563,107.19,Net30
PO100030,SKU1054,SUP512,2024-01-23,2024-02-03,2024-02-04,680,84.15,Prepaid
PO100031,SKU1035,SUP502,2024-12-01,2024-12-10,2024-12-11,258,193.92,Prepaid
PO100032,SKU1068,SUP510,2024-05-25,2024-06-18,2024-06-20,904,107.75,Net45
