date,sku_id,location_id,stock_on_hand,stock_in_transit,reserved_stock
2024-01-01,P0000,L2,188,22,12
2024-01-01,P0001,L1,74,43,14
2024-01-01,P0002,L1,97,26,14
2024-01-01,P0003,L3,110,9,18
2024-01-01,P0004,L3,218,23,7
2024-01-01,P0005,L5,106,35,16
2024-01-01,P0006,L3,164,49,2
2024-01-01,P0007,L2,194,1,11
2024-01-01,P0008,L3,249,47,10
2024-01-01,P0009,L5,287,38,9
2024-01-01,P0010,L4,275,9,1
2024-01-01,P0011,L4,113,40,0
2024-01-01,P0012,L5,228,31,16
2024-01-01,P0013,L1,24,33,19
2024-01-01,P0014,L5,177,24,10
2024-01-01,P0015,L1,67,5,7
2024-01-01,P0016,L5,184,43,12
2024-01-01,P0017,L5,256,1,4
2024-01-01,P0018,L3,282,2,5
2024-01-01,P0019,L1,267,15,5
2024-01-01,P0020,L2,23,47,2
2024-01-01,P0021,L2,264,41,17
2024-01-01,P0022,L1,237,41,13
2024-01-01,P0023,L1,180,15,7
2024-01-01,P0024,L3,287,47,2
2024-01-01,P0025,L4,250,10,9
2024-01-01,P0026,L3,108,42,19
2024-01-01,P0027,L2,189,40,5
2024-01-01,P0028,L5,103,21,13
2024-01-01,P0029,L3,282,0,15
2024-01-01,P0030,L5,223,24,17
2024-01-01,P0031,L2,178,38,8
2024-01-01,P0032,L2,110,26,14
2024-01-01,P0033,L1,183,38,14
2024-01-01,P0034,L4,130,46,18
2024-01-01,P0035,L1,236,17,3
2024-01-01,P0036,L1,281,14,17
2024-01-01,P0037,L5,97,48,17
2024-01-01,P0038,L1,24,2,4
2024-01-01,P0039,L5,112,48,1
2024-01-01,P0040,L3,230,18,17
2024-01-01,P0041,L3,186,32,18
2024-01-01,P0042,L4,203,20,7
2024-01-01,P0043,L5,231,12,18
2024-01-01,P0044,L1,284,4,11
2024-01-01,P0045,L5,184,45,0
2024-01-01,P0046,L2,46,28,5
2024-01-01,P0047,L5,244,33,17
2024-01-01,P0048,L5,176,44,2
2024-01-01,P0049,L5,76,25,5
2024-01-02,P0000,L5,43,42,14
2024-01-02,P0001,L2,223,34,15
2024-01-02,P0002,L1,31,4,7
2024-01-02,P0003,L4,185,43,17
2024-01-02,P0004,L2,157,11,6
2024-01-02,P0005,L4,241,36,5
2024-01-02,P0006,L4,156,17,16
2024-01-02,P0007,L4,88,19,19
2024-01-02,P0008,L5,247,4,4
2024-01-02,P0009,L1,259,46,15
2024-01-02,P0010,L4,70,6,1
2024-01-02,P0011,L5,244,18,17
2024-01-02,P0012,L3,226,33,1
2024-01-02,P0013,L5,231,38,5
2024-01-02,P0014,L5,233,15,16
2024-01-02,P0015,L5,299,0,19
2024-01-02,P0016,L1,69,17,3
2024-01-02,P0017,L3,295,19,5
2024-01-02,P0018,L1,172,17,8
2024-01-02,P0019,L2,168,9,19
2024-01-02,P0020,L1,160,43,10
2024-01-02,P0021,L4,48,38,16
2024-01-02,P0022,L2,169,24,14
2024-01-02,P0023,L1,295,26,7
2024-01-02,P0024,L4,252,44,13
2024-01-02,P0025,L3,221,23,10
2024-01-02,P0026,L4,289,33,11
2024-01-02,P0027,L5,151,10,1
2024-01-02,P0028,L5,265,7,18
2024-01-02,P0029,L3,33,40,12
2024-01-02,P0030,L3,257,33,19
2024-01-02,P0031,L4,224,18,4
2024-01-02,P0032,L3,37,33,0
2024-01-02,P0033,L2,62,7,13
2024-01-02,P0034,L5,237,27,8
2024-01-02,P0035,L5,168,28,13
2024-01-02,P0036,L3,134,14,5
2024-01-02,P0037,L3,76,26,16
2024-01-02,P0038,L3,231,35,7
2024-01-02,P0039,L5,32,16,13
2024-01-02,P0040,L5,98,20,12
2024-01-02,P0041,L3,299,38,2
2024-01-02,P0042,L5,92,36,3
2024-01-02,P0043,L5,237,14,13
2024-01-02,P0044,L3,62,30,17
2024-01-02,P0045,L5,93,35,1
2024-01-02,P0046,L3,293,45,14
2024-01-02,P0047,L4,200,43,18
2024-01-02,P0048,L5,270,26,14
2024-01-02,P0049,L4,184,34,15
2024-01-03,P0000,L3,50,18,7
2024-01-03,P0001,L5,76,37,11
2024-01-03,P0002,L2,78,36,19
2024-01-03,P0003,L5,143,6,18
2024-01-03,P0004,L3,64,49,7
2024-01-03,P0005,L2,234,15,11
2024-01-03,P0006,L5,144,16,10
2024-01-03,P0007,L5,270,32,19
2024-01-03,P0008,L1,108,24,15
2024-01-03,P0009,L3,104,4,3
2024-01-03,P0010,L5,268,12,14
2024-01-03,P0011,L5,88,5,9
2024-01-03,P0012,L1,154,1,6
2024-01-03,P0013,L4,109,16,11
2024-01-03,P0014,L2,20,49,11
2024-01-03,P0015,L2,138,24,5
2024-01-03,P0016,L3,223,23,12
2024-01-03,P0017,L5,165,35,9
2024-01-03,P0018,L4,136,22,13
2024-01-03,P0019,L5,273,11,11
2024-01-03,P0020,L1,38,10,7
2024-01-03,P0021,L4,228,35,13
2024-01-03,P0022,L1,32,31,12
2024-01-03,P0023,L4,78,2,13
2024-01-03,P0024,L5,104,11,1
2024-01-03,P0025,L2,101,31,14
2024-01-03,P0026,L3,206,37,9
2024-01-03,P0027,L4,154,14,17
2024-01-03,P0028,L4,149,18,2
2024-01-03,P0029,L5,237,44,6
2024-01-03,P0030,L2,290,27,5
2024-01-03,P0031,L1,21,16,11
2024-01-03,P0032,L5,46,30,0
2024-01-03,P0033,L4,21,12,2
2024-01-03,P0034,L1,270,19,0
2024-01-03,P0035,L4,34,44,19
2024-01-03,P0036,L1,128,12,1
2024-01-03,P0037,L3,92,49,5
2024-01-03,P0038,L4,263,39,7
2024-01-03,P0039,L5,272,10,2
2024-01-03,P0040,L1,283,2,1
2024-01-03,P0041,L1,42,36,5
2024-01-03,P0042,L3,62,5,17
2024-01-03,P0043,L5,150,41,19
2024-01-03,P0044,L4,163,44,18
2024-01-03,P0045,L2,247,6,12
2024-01-03,P0046,L3,163,19,2
2024-01-03,P0047,L3,275,34,0
2024-01-03,P0048,L1,249,39,12
2024-01-03,P0049,L5,147,12,11
2024-01-04,P0000,L5,90,7,9
2024-01-04,P0001,L3,187,4,15
2024-01-04,P0002,L3,109,8,11
2024-01-04,P0003,L5,99,29,18
2024-01-04,P0004,L1,278,44,2
2024-01-04,P0005,L1,110,30,11
2024-01-04,P0006,L5,178,21,9
2024-01-04,P0007,L5,193,9,16
2024-01-04,P0008,L3,233,2,19
2024-01-04,P0009,L3,65,20,13
2024-01-04,P0010,L5,122,34,6
2024-01-04,P0011,L1,28,41,11
2024-01-04,P0012,L1,136,43,4
2024-01-04,P0013,L4,44,15,10
2024-01-04,P0014,L4,107,36,14
2024-01-04,P0015,L5,76,5,17
2024-01-04,P0016,L4,87,44,9
2024-01-04,P0017,L3,243,22,18
2024-01-04,P0018,L3,206,16,10
2024-01-04,P0019,L1,107,36,3
2024-01-04,P0020,L4,48,16,15
2024-01-04,P0021,L3,254,44,5
2024-01-04,P0022,L1,267,17,15
2024-01-04,P0023,L3,261,18,9
2024-01-04,P0024,L4,47,30,2
2024-01-04,P0025,L5,103,4,1
2024-01-04,P0026,L1,24,37,7
2024-01-04,P0027,L3,157,41,9
2024-01-04,P0028,L3,86,34,11
2024-01-04,P0029,L2,145,39,12
2024-01-04,P0030,L1,216,47,10
