sku_id,sku_name,category,subcategory,brand,uom,variant
P0000,action Grocery,Grocery,Rice,HUL,pcs,Eco
P0001,interview Grocery,Grocery,Spices,Dabur,g,Classic
P0002,tree Household,Household,Cleaner,Tata,g,Premium
P0003,certain Household,Household,Cleaner,HUL,kg,Classic
P0004,summer Grocery,Grocery,Spices,PepsiCo,g,Premium
P0005,space Snacks,Snacks,Namkeen,Britannia,pcs,Eco
P0006,generation Snacks,Snacks,Chips,Tata,pcs,Classic
P0007,structure Household,Household,Cleaner,Britannia,kg,Premium
P0008,area Beverages,Beverages,Juice,Nestle,ml,Family Pack
P0009,happen Grocery,Grocery,Rice,Nestle,L,Premium
P0010,theory Beverages,Beverages,Coffee,Nestle,pcs,Family Pack
P0011,still Snacks,Snacks,Namkeen,Nestle,kg,Family Pack
P0012,however Snacks,Snacks,Cookies,HUL,kg,Classic
P0013,director Snacks,Snacks,Cookies,Britannia,ml,Family Pack
P0014,without Cosmetics,Cosmetics,Cream,Parle,kg,Family Pack
P0015,available Grocery,Grocery,Spices,HUL,pcs,Premium
P0016,officer Cosmetics,Cosmetics,Cream,Tata,L,Family Pack
P0017,sort Snacks,Snacks,Chips,PepsiCo,ml,Classic
P0018,clear Grocery,Grocery,Spices,Britannia,L,Classic
P0019,energy Snacks,Snacks,Cookies,Tata,ml,Classic
P0020,three Household,Household,Cleaner,Nestle,ml,Premium
P0021,change Snacks,Snacks,Namkeen,HUL,kg,Eco
P0022,line Grocery,Grocery,Rice,Parle,g,Premium
P0023,but Snacks,Snacks,Chips,Britannia,kg,Eco
P0024,while Cosmetics,Cosmetics,Shampoo,Nestle,g,Classic
P0025,social Grocery,Grocery,Flour,HUL,kg,Classic
P0026,tough Cosmetics,Cosmetics,Shampoo,Nestle,g,Classic
P0027,fast Snacks,Snacks,Chips,Parle,ml,Premium
P0028,sure Grocery,Grocery,Rice,Dabur,pcs,Eco
P0029,draw Beverages,Beverages,Coffee,Britannia,ml,Family Pack
P0030,technology Snacks,Snacks,Cookies,Parle,pcs,Eco
P0031,would Beverages,Beverages,Tea,Parle,ml,Premium
P0032,thank Household,Household,Cleaner,Tata,ml,Eco
P0033,program Snacks,Snacks,Chips,Britannia,kg,Family Pack
P0034,politics Snacks,Snacks,Cookies,PepsiCo,kg,Eco
P0035,strategy Grocery,Grocery,Flour,Nestle,ml,Family Pack
P0036,hear Beverages,Beverages,Tea,Tata,L,Classic
P0037,garden Snacks,Snacks,Namkeen,PepsiCo,ml,Family Pack
P0038,western Household,Household,Cleaner,Britannia,kg,Classic
P0039,cup Cosmetics,Cosmetics,Soap,PepsiCo,L,Classic
P0040,relate Beverages,Beverages,Coffee,Parle,kg,Eco
P0041,foreign Grocery,Grocery,Spices,Nestle,L,Eco
P0042,mouth Household,Household,Cleaner,PepsiCo,kg,Premium
P0043,reveal Household,Household,Cleaner,Parle,kg,Premium
P0044,imagine Household,Household,Cleaner,Dabur,g,Family Pack
P0045,politics Beverages,Beverages,Coffee,Nestle,g,Family Pack
P0046,push Snacks,Snacks,Chips,Tata,g,Eco
P0047,remember Grocery,Grocery,Spices,Nestle,L,Classic
P0048,born Household,Household,Cleaner,Britannia,pcs,Family Pack
P0049,parent Grocery,Grocery,Spices,Britannia,g,Classic
