sku_id,sku_name,category,subcategory,brand,uom,variant,catalogue_id,title,description,images,tags,mrp,rating,reviews_count,is_active
P0000,action Grocery,Grocery,Rice,HUL,pcs,Eco,C0000,action Grocery,Executive example vote Republican. Congress assume door mean more. Seat prevent within charge then out.,image_0.jpg,"tag1,tag2,tag3",466,2.6,1791,1
P0001,interview Grocery,Grocery,Spices,Dabur,g,Classic,C0001,interview Grocery,East heart response start. Major feeling improve under maintain.,image_1.jpg,"tag1,tag2,tag3",246,2.6,1010,1
P0002,tree Household,Household,Cleaner,Tata,g,Premium,C0002,tree Household,Grow always indicate type building model. Marriage great less. Main my indeed sound ok Mrs.,image_2.jpg,"tag1,tag2,tag3",136,3.3,824,1
P0003,certain Household,Household,Cleaner,HUL,kg,Classic,C0003,certain Household,Down happen write. Many type house service.,image_3.jpg,"tag1,tag2,tag3",450,3.8,1611,1
P0004,summer Grocery,Grocery,Spices,PepsiCo,g,Premium,C0004,summer Grocery,Plant discuss wish travel have finally. Particularly continue religious red stand firm.,image_4.jpg,"tag1,tag2,tag3",287,4.6,1804,1
P0005,space Snacks,Snacks,Namkeen,Britannia,pcs,Eco,C0005,space Snacks,"Box help best able million tonight quality.
Per away discover for. Require address Congress piece.",image_5.jpg,"tag1,tag2,tag3",131,4.1,1038,1
P0006,generation Snacks,Snacks,Chips,Tata,pcs,Classic,C0006,generation Snacks,Question often eight produce. Message when low my store carry. Fly least boy hundred power back.,image_6.jpg,"tag1,tag2,tag3",408,3.3,1601,1
P0007,structure Household,Household,Cleaner,Britannia,kg,Premium,C0007,structure Household,Hour meeting memory. However affect listen media stock fact. Win including factor month. List season true.,image_7.jpg,"tag1,tag2,tag3",304,3.9,752,1
P0008,area Beverages,Beverages,Juice,Nestle,ml,Family Pack,C0008,area Beverages,Tough chance culture will minute charge pick. Could doctor without civil page food. Wall consider bar position.,image_8.jpg,"tag1,tag2,tag3",189,2.7,1093,1
P0009,happen Grocery,Grocery,Rice,Nestle,L,Premium,C0009,happen Grocery,Father care money possible enough down generation clearly. Upon responsibility sure rich.,image_9.jpg,"tag1,tag2,tag3",328,2.6,1165,1
P0010,theory Beverages,Beverages,Coffee,Nestle,pcs,Family Pack,C0010,theory Beverages,Difference cold series draw everyone serve probably. West employee specific.,image_10.jpg,"tag1,tag2,tag3",499,2.9,1987,1
P0011,still Snacks,Snacks,Namkeen,Nestle,kg,Family Pack,C0011,still Snacks,Against authority trial. Through present three situation wind hotel.,image_11.jpg,"tag1,tag2,tag3",382,4.8,456,1
P0012,however Snacks,Snacks,Cookies,HUL,kg,Classic,C0012,however Snacks,Upon candidate get. Page financial strong board after cover plant back. Suddenly wonder work the end power.,image_12.jpg,"tag1,tag2,tag3",409,4.3,388,1
P0013,director Snacks,Snacks,Cookies,Britannia,ml,Family Pack,C0013,director Snacks,History third language surface increase at.,image_13.jpg,"tag1,tag2,tag3",440,4.7,1284,1
P0014,without Cosmetics,Cosmetics,Cream,Parle,kg,Family Pack,C0014,without Cosmetics,Local phone such eight evening. Others hard benefit data.,image_14.jpg,"tag1,tag2,tag3",199,4.5,282,1
P0015,available Grocery,Grocery,Spices,HUL,pcs,Premium,C0015,available Grocery,"Every give recent way eye. Difficult successful arm.
Rise away American food politics.",image_15.jpg,"tag1,tag2,tag3",220,4.5,298,1
P0016,officer Cosmetics,Cosmetics,Cream,Tata,L,Family Pack,C0016,officer Cosmetics,Manage from key dark. Player in number trip prepare how catch serious. Role where consider eight.,image_16.jpg,"tag1,tag2,tag3",251,2.8,1223,1
P0017,sort Snacks,Snacks,Chips,PepsiCo,ml,Classic,C0017,sort Snacks,"Check research away per always might subject idea.
Get center until herself late born poor.",image_17.jpg,"tag1,tag2,tag3",53,4.6,682,1
P0018,clear Grocery,Grocery,Spices,Britannia,L,Classic,C0018,clear Grocery,Keep family several many strong. High practice culture seat join method poor.,image_18.jpg,"tag1,tag2,tag3",132,2.9,410,1
P0019,energy Snacks,Snacks,Cookies,Tata,ml,Classic,C0019,energy Snacks,West risk machine action. Discover within type air pretty service must.,image_19.jpg,"tag1,tag2,tag3",324,3.4,346,1
P0020,three Household,Household,Cleaner,Nestle,ml,Premium,C0020,three Household,Win perform agent which tough color. Hot choose include I. Exactly work but human hard put skill.,image_20.jpg,"tag1,tag2,tag3",299,4.2,1647,1
P0021,change Snacks,Snacks,Namkeen,HUL,kg,Eco,C0021,change Snacks,Pretty do capital Democrat among between.,image_21.jpg,"tag1,tag2,tag3",214,3.1,67,1
P0022,line Grocery,Grocery,Rice,Parle,g,Premium,C0022,line Grocery,"She by sit will join. Item out same mother left tend.
Most similar age tax car. Agree current suffer world.",image_22.jpg,"tag1,tag2,tag3",342,3.5,1491,1
P0023,but Snacks,Snacks,Chips,Britannia,kg,Eco,C0023,but Snacks,Force next parent scene southern lawyer bed. Style coach environment want.,image_23.jpg,"tag1,tag2,tag3",422,4.0,1946,1
P0024,while Cosmetics,Cosmetics,Shampoo,Nestle,g,Classic,C0024,while Cosmetics,Moment move until little science able. Approach finally each get work scientist. Subject street bank at.,image_24.jpg,"tag1,tag2,tag3",117,3.4,1871,1
P0025,social Grocery,Grocery,Flour,HUL,kg,Classic,C0025,social Grocery,Institution ever real action. Certain understand serious entire suffer sell way.,image_25.jpg,"tag1,tag2,tag3",286,4.7,55,1
P0026,tough Cosmetics,Cosmetics,Shampoo,Nestle,g,Classic,C0026,tough Cosmetics,Born board him production. Community window suddenly stop point.,image_26.jpg,"tag1,tag2,tag3",253,4.1,491,1
P0027,fast Snacks,Snacks,Chips,Parle,ml,Premium,C0027,fast Snacks,Yeah when find always. Arrive individual public. Statement value same medical.,image_27.jpg,"tag1,tag2,tag3",281,3.5,402,1
P0028,sure Grocery,Grocery,Rice,Dabur,pcs,Eco,C0028,sure Grocery,Wait weight southern wonder school. Man first step sister edge. Dinner interview car.,image_28.jpg,"tag1,tag2,tag3",141,4.1,997,1
P0029,draw Beverages,Beverages,Coffee,Britannia,ml,Family Pack,C0029,draw Beverages,Treat mention ahead American over test off. Body once training risk street audience laugh.,image_29.jpg,"tag1,tag2,tag3",340,2.8,440,1
P0030,technology Snacks,Snacks,Cookies,Parle,pcs,Eco,C0030,technology Snacks,Hour reflect involve play per. Political often my to inside. Power protect make few beyond energy.,image_30.jpg,"tag1,tag2,tag3",84,3.4,933,1
P0031,would Beverages,Beverages,Tea,Parle,ml,Premium,C0031,would Beverages,During by growth. Space popular away value. Theory four money image condition.,image_31.jpg,"tag1,tag2,tag3",242,3.3,610,1
P0032,thank Household,Household,Cleaner,Tata,ml,Eco,C0032,thank Household,Anything next some all financial choose stuff.,image_32.jpg,"tag1,tag2,tag3",215,3.5,1038,1
P0033,program Snacks,Snacks,Chips,Britannia,kg,Family Pack,C0033,program Snacks,Make consumer game budget think. Agent toward west idea. Suffer policy suffer necessary.,image_33.jpg,"tag1,tag2,tag3",158,4.6,1597,1
P0034,politics Snacks,Snacks,Cookies,PepsiCo,kg,Eco,C0034,politics Snacks,Black total effort specific road article who. Ten save stop product. Appear attention act our serious.,image_34.jpg,"tag1,tag2,tag3",265,3.7,1918,1
P0035,strategy Grocery,Grocery,Flour,Nestle,ml,Family Pack,C0035,strategy Grocery,Military mother everyone order stock. Rate movement me. Change most weight life but water point.,image_35.jpg,"tag1,tag2,tag3",136,3.1,1524,1
P0036,hear Beverages,Beverages,Tea,Tata,L,Classic,C0036,hear Beverages,Break against should quite. Guy effect even open near senior. Wait capital event expect happy feel.,image_36.jpg,"tag1,tag2,tag3",254,4.8,806,1
P0037,garden Snacks,Snacks,Namkeen,PepsiCo,ml,Family Pack,C0037,garden Snacks,South she strong. Anyone be senior blue road true. Spring hair he system game.,image_37.jpg,"tag1,tag2,tag3",250,4.7,1426,1
P0038,western Household,Household,Cleaner,Britannia,kg,Classic,C0038,western Household,Energy particularly another at responsibility. Line rich husband few push.,image_38.jpg,"tag1,tag2,tag3",243,4.4,1810,1
P0039,cup Cosmetics,Cosmetics,Soap,PepsiCo,L,Classic,C0039,cup Cosmetics,I suffer service fast growth.,image_39.jpg,"tag1,tag2,tag3",469,4.7,1186,1
P0040,relate Beverages,Beverages,Coffee,Parle,kg,Eco,C0040,relate Beverages,Green weight tree.,image_40.jpg,"tag1,tag2,tag3",143,3.6,1642,1
P0041,foreign Grocery,Grocery,Spices,Nestle,L,Eco,C0041,foreign Grocery,Such receive thing. Change bring book kid. Game light local.,image_41.jpg,"tag1,tag2,tag3",306,3.4,276,1
P0042,mouth Household,Household,Cleaner,PepsiCo,kg,Premium,C0042,mouth Household,Business too suddenly whom phone set cause. Though part somebody offer form wonder none. Whole choose defense.,image_42.jpg,"tag1,tag2,tag3",307,2.6,1640,1
P0043,reveal Household,Household,Cleaner,Parle,kg,Premium,C0043,reveal Household,"Follow area tend along industry threat. Agreement into hear require.
Read range day style force.",image_43.jpg,"tag1,tag2,tag3",475,2.6,1076,1
P0044,imagine Household,Household,Cleaner,Dabur,g,Family Pack,C0044,imagine Household,Recent window fill by. Somebody indicate analysis relationship affect draw.,image_44.jpg,"tag1,tag2,tag3",274,3.0,180,1
P0045,politics Beverages,Beverages,Coffee,Nestle,g,Family Pack,C0045,politics Beverages,Represent drive or couple young. Dinner someone weight collection concern however newspaper.,image_45.jpg,"tag1,tag2,tag3",361,3.1,1695,1
P0046,push Snacks,Snacks,Chips,Tata,g,Eco,C0046,push Snacks,Almost system number side loss effort store under. Challenge shake news.,image_46.jpg,"tag1,tag2,tag3",50,2.6,426,1
