po_id,sku_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered
PO16359,P0000,S006,2025-01-17,2025-02-01,2025-02-01,223
PO42749,P0000,S006,2025-07-25,2025-08-03,2025-08-03,175
PO14526,P0000,S004,2025-06-08,2025-06-24,2025-06-24,364
PO56928,P0000,S004,2024-12-06,2024-12-16,2024-12-16,378
PO32619,P0000,S008,2025-08-09,2025-08-19,2025-08-19,420
PO49823,P0000,S000,2025-06-01,2025-06-15,2025-06-17,431
PO31837,P0000,S003,2025-11-12,2025-11-27,2025-11-29,276
PO98246,P0000,S005,2025-07-23,2025-08-08,2025-08-08,327
PO34805,P0000,S002,2025-05-23,2025-06-11,2025-06-11,483
PO75826,P0000,S008,2025-09-30,2025-10-10,2025-10-10,210
PO43925,P0000,S000,2025-01-30,2025-02-03,2025-02-04,457
PO91994,P0001,S007,2025-07-28,2025-08-01,2025-08-05,417
PO86191,P0001,S003,2025-10-28,2025-11-09,2025-11-09,494
PO11832,P0001,S007,2025-07-28,2025-08-04,2025-08-04,465
PO27984,P0001,S005,2025-06-16,2025-06-27,2025-06-27,289
PO23230,P0001,S006,2025-01-09,2025-01-14,2025-01-14,337
PO87658,P0001,S001,2025-04-08,2025-04-11,2025-04-11,470
PO84181,P0001,S006,2024-12-15,2024-12-21,2024-12-21,59
PO82169,P0001,S009,2025-01-17,2025-02-02,2025-02-02,415
PO32305,P0001,S003,2025-09-18,2025-09-23,2025-09-25,346
PO91512,P0001,S009,2025-01-02,2025-01-16,2025-01-16,335
PO23793,P0001,S003,2025-05-26,2025-06-01,2025-06-01,111
PO59319,P0002,S000,2025-09-01,2025-09-04,2025-09-04,151
PO55284,P0002,S002,2025-01-30,2025-02-12,2025-02-12,243
PO32852,P0002,S003,2025-02-17,2025-02-23,2025-02-23,175
PO90688,P0002,S002,2025-06-12,2025-06-19,2025-06-19,452
PO21975,P0002,S001,2025-02-28,2025-03-11,2025-03-11,120
PO86546,P0002,S009,2025-11-11,2025-11-29,2025-11-29,466
PO46075,P0002,S003,2025-02-15,2025-03-03,2025-03-03,398
PO62427,P0002,S008,2025-04-27,2025-05-03,2025-05-03,390
PO45479,P0002,S000,2025-08-20,2025-08-26,2025-08-26,141
PO66629,P0002,S007,2025-02-27,2025-03-12,2025-03-12,284
PO86433,P0002,S008,2025-02-26,2025-03-10,2025-03-10,98
PO82375,P0002,S004,2025-10-31,2025-11-10,2025-11-10,130
PO64236,P0002,S006,2025-05-24,2025-05-28,2025-05-28,308
PO98900,P0002,S000,2025-06-02,2025-06-21,2025-06-21,397
PO26933,P0003,S005,2024-12-25,2025-01-05,2025-01-05,438
PO19523,P0003,S000,2025-03-03,2025-03-20,2025-03-20,192
PO83907,P0003,S002,2025-05-21,2025-06-01,2025-06-01,475
PO64718,P0003,S002,2024-11-29,2024-12-07,2024-12-07,302
PO19622,P0003,S007,2024-12-11,2024-12-29,2024-12-29,111
PO64544,P0003,S008,2025-01-19,2025-02-06,2025-02-07,406
PO90424,P0003,S008,2025-03-16,2025-03-29,2025-04-02,203
PO83805,P0003,S008,2024-11-20,2024-11-24,2024-11-24,482
PO87853,P0003,S004,2025-01-26,2025-02-04,2025-02-07,473
PO16329,P0003,S007,2025-01-06,2025-01-21,2025-01-21,404
PO15696,P0003,S008,2025-06-04,2025-06-07,2025-06-07,381
PO33292,P0003,S000,2025-06-03,2025-06-18,2025-06-19,330
PO92825,P0003,S005,2025-02-14,2025-02-27,2025-02-28,115
PO41574,P0003,S003,2025-07-05,2025-07-12,2025-07-12,445
PO65532,P0003,S005,2025-04-06,2025-04-10,2025-04-10,452
PO66948,P0003,S002,2025-11-03,2025-11-06,2025-11-06,384
PO41183,P0004,S007,2025-07-12,2025-07-19,2025-07-22,377
PO55516,P0004,S006,2025-07-27,2025-08-10,2025-08-10,81
PO68471,P0004,S002,2025-03-13,2025-03-28,2025-03-30,297
PO86511,P0004,S009,2024-12-26,2025-01-05,2025-01-07,217
PO79975,P0004,S006,2025-06-06,2025-06-16,2025-06-16,353
PO18369,P0004,S003,2024-12-15,2024-12-21,2024-12-21,475
PO18364,P0005,S005,2025-08-27,2025-09-04,2025-09-04,330
PO44778,P0005,S001,2025-10-11,2025-10-22,2025-10-22,370
PO37222,P0005,S006,2025-10-15,2025-10-30,2025-10-30,186
PO95782,P0005,S005,2025-03-09,2025-03-18,2025-03-18,117
