iter	RMSE
0	0.4310675969
1	0.4095420427
2	0.389074249
3	0.3696407758
4	0.3511618294
5	0.3336098034
6	0.3169403877
7	0.3010949517
8	0.2860452416
9	0.2717515934
10	0.2581696329
11	0.2452650048
12	0.2330082079
13	0.2213696879
14	0.2103126032
15	0.1998064343
16	0.189821397
17	0.1803328817
18	0.1713213974
19	0.1627579602
20	0.154627574
21	0.1468993209
22	0.1395610102
23	0.132586341
24	0.125963742
25	0.1196707322
26	0.1136896041
27	0.1080106227
28	0.1026117286
29	0.09748582505
30	0.09261453131
31	0.0879869652
32	0.08359032493
33	0.07941384776
34	0.0754483449
35	0.07167878145
36	0.06809778923
37	0.06469688747
38	0.06146251613
39	0.05839116717
40	0.05547502188
41	0.05270300812
42	0.05006881878
43	0.04756657185
44	0.0451918131
45	0.04293682481
46	0.04079361921
47	0.03875518324
48	0.03681985398
49	0.03498012532
50	0.03323283887
51	0.03157350196
52	0.02999607976
53	0.02849828898
54	0.02707508945
55	0.02572222709
56	0.02443802994
57	0.02321771863
58	0.02205802028
59	0.02095681
60	0.01991043465
61	0.01891672214
62	0.01797250425
63	0.01707558907
64	0.01622319221
65	0.0154133289
66	0.0146450405
67	0.0139149061
68	0.01322065734
69	0.01256099524
70	0.01193432283
71	0.01133912728
72	0.01077367158
73	0.01023691133
74	0.009726475622
75	0.009242122118
76	0.008781681253
77	0.00834434713
78	0.007929052946
79	0.00753480373
80	0.007160407371
81	0.006804268849
82	0.006466281197
83	0.006145453521
84	0.005840198654
85	0.005550643667
86	0.005275142504
87	0.005013603429
88	0.004765137435
89	0.004529562452
90	0.00430552218
91	0.004092583284
92	0.00389047263
93	0.003698728183
94	0.003516663686
95	0.003343833677
96	0.00317960467
97	0.00302344901
98	0.002875317028
99	0.002734964354
100	0.002601797708
