iter	Passed	Remaining
0	384	268568
1	1290	450429
2	2119	492536
3	3056	531901
4	3938	547453
5	5064	585801
6	6114	605318
7	6704	579977
8	7738	594167
9	8665	597886
10	9792	613348
11	11050	633567
12	12033	635925
13	13005	637280
14	13953	637231
15	14967	639843
16	15998	642777
17	16717	633419
18	17700	634419
19	18635	633603
20	19727	637858
21	20855	642721
22	21850	643175
23	22631	637462
24	23498	634449
25	24425	633181
26	25327	631305
27	26291	630984
28	27403	634071
29	28612	639010
30	29737	641749
31	30731	641515
32	31725	641234
33	32763	641777
34	33757	641386
35	34755	641038
36	35659	638985
37	36661	638686
38	37146	629581
39	37941	626037
40	38864	624680
41	39851	624340
42	40672	621436
43	41642	620850
44	42719	621811
45	43809	622861
46	45098	626587
47	46247	628194
48	47372	629382
49	48376	628896
50	49439	629136
51	50413	628234
52	51499	628684
53	52377	626591
54	53271	624730
55	54058	621673
56	55233	623067
57	56303	623218
58	57058	619903
59	58013	618811
60	58985	617893
61	59986	617276
62	60840	615165
63	62028	616412
64	63221	617627
65	64451	619128
66	65644	620189
67	66789	620751
68	67939	621298
69	68895	620062
70	69813	618485
71	70895	618366
72	71797	616672
73	72853	616300
74	73454	612118
75	74421	611040
76	75571	611439
77	76498	610024
78	77348	608020
79	78305	606870
80	79605	608343
81	80643	607779
82	81840	608377
83	82847	607545
84	83895	607010
85	84825	605614
86	86345	608388
87	87437	608087
88	88407	606934
89	89428	606125
90	90300	604318
91	91325	603539
92	92376	602928
93	93317	601600
94	94449	601494
95	96007	604049
96	97466	605902
97	98461	604833
98	99475	603886
99	100750	604502
100	101955	604667
