sku_id,sku_name,category,subcategory,brand,uom,variant,launch_date,perishability_flag,expiry_days,base_mrp
SKU1000,Hughes-Gonzales Have pcs,Pharma,Happen,Hughes-Gonzales,pcs,Green,2024-05-13,1,365.0,1245
SKU1001,Ferguson Reason ml,Beverages,Magazine,Ferguson,ml,Classic,2025-09-13,1,,84
SKU1002,Bright Its L,Household,Work,Bright,L,Green,2025-06-18,0,,11
SKU1003,"Garrison, Statement ml",Cosmetics,Car,"Garrison,",ml,New,2025-07-05,0,,256
SKU1004,"Rollins, Specific kg",Grocery,Line,"Rollins,",kg,Mini,2024-05-06,1,720.0,148
SKU1005,"Woods, Middle pcs",Electronics,Space,"Woods,",pcs,New,2024-05-20,0,,1517
SKU1006,Coleman-Morrison So pcs,Pharma,Store,Coleman-Morrison,pcs,Green,2024-09-03,1,365.0,174
SKU1007,Mcconnell-Yoder Day pcs,Electronics,Together,Mcconnell-Yoder,pcs,New,2024-10-18,0,,1613
SKU1008,"Green, Pm ml",Cosmetics,Most,"Green,",ml,XL,2025-08-26,0,,283
SKU1009,"Newton, Own pcs",Cosmetics,Itself,"Newton,",pcs,Green,2023-09-20,0,,87
SKU1010,Turner Glass g,Snacks,Actually,Turner,g,Classic,2024-12-24,0,,48
SKU1011,Yu Notice pcs,Electronics,Be,Yu,pcs,Mini,2023-10-30,0,,2404
SKU1012,Jones Office kg,Grocery,Message,Jones,kg,New,2023-03-19,1,365.0,42
SKU1013,Smith Data pcs,Electronics,Same,Smith,pcs,Mini,2023-12-19,0,,397
SKU1014,Rubio Quickly pcs,Cosmetics,Activity,Rubio,pcs,Mini,2023-06-04,0,,75
SKU1015,"Hicks, High pcs",Snacks,Arrive,"Hicks,",pcs,Mini,2024-03-31,0,,46
SKU1016,"Vincent, Here pcs",Pharma,Smile,"Vincent,",pcs,New,2024-10-15,1,30.0,256
SKU1017,Cherry Some pcs,Household,Out,Cherry,pcs,Classic,2023-05-28,0,,61
SKU1018,Wilkinson Republican mg,Pharma,Final,Wilkinson,mg,Mini,2023-09-15,1,30.0,49
SKU1019,"Smith, Born g",Grocery,Focus,"Smith,",g,Classic,2025-08-31,1,180.0,14
SKU1020,Rodriguez Would kg,Grocery,Course,Rodriguez,kg,Green,2022-11-22,1,180.0,127
SKU1021,"Mckinney, Table pcs",Household,Grow,"Mckinney,",pcs,Green,2023-10-09,0,,160
SKU1022,Smith-Wagner Half pcs,Snacks,Law,Smith-Wagner,pcs,XL,2023-06-20,0,,171
SKU1023,Robinson-Kirk Three ml,Cosmetics,Century,Robinson-Kirk,ml,Mini,2024-01-19,0,,161
SKU1024,Casey-Sanchez Official pcs,Household,Center,Casey-Sanchez,pcs,Green,2024-04-10,0,,191
SKU1025,King Summer pcs,Household,Animal,King,pcs,Classic,2024-12-19,0,,168
SKU1026,Scott-Cole Effect mg,Pharma,Personal,Scott-Cole,mg,New,2023-11-04,1,30.0,349
SKU1027,"Murray, Learn pcs",Household,Who,"Murray,",pcs,New,2024-02-19,0,,19
SKU1028,Green Into pcs,Snacks,Ever,Green,pcs,Mini,2024-05-20,0,,38
SKU1029,Osborne-Jones Teacher pcs,Pharma,Send,Osborne-Jones,pcs,Classic,2023-06-14,1,180.0,178
SKU1030,Ward-Cohen Arrive mg,Pharma,Fight,Ward-Cohen,mg,Classic,2023-09-09,1,180.0,121
SKU1031,"Foster, Present mg",Pharma,Blood,"Foster,",mg,XL,2023-07-09,1,180.0,119
SKU1032,"Holland, Camera ml",Cosmetics,Spend,"Holland,",ml,New,2025-08-10,0,,290
SKU1033,Ortiz Reveal L,Beverages,Important,Ortiz,L,XL,2024-03-21,1,,104
SKU1034,Turner-Davis Whether pcs,Electronics,Table,Turner-Davis,pcs,New,2022-12-10,0,,2597
SKU1035,Hill-Stewart Cultural pcs,Electronics,About,Hill-Stewart,pcs,XL,2024-07-29,0,,938
SKU1036,Ross-Calhoun Reveal pcs,Pharma,Executive,Ross-Calhoun,pcs,Classic,2025-05-09,1,720.0,327
SKU1037,"Jacobs, Return ml",Cosmetics,Crime,"Jacobs,",ml,Classic,2025-07-27,0,,250
SKU1038,"Garcia, Run pcs",Household,General,"Garcia,",pcs,New,2025-07-21,0,,130
SKU1039,"Odonnell, Lot pcs",Household,Peace,"Odonnell,",pcs,New,2023-02-13,0,,141
SKU1040,"Johnston, Word L",Household,Treat,"Johnston,",L,New,2025-06-04,0,,102
SKU1041,Richards-Gonzales Structure pcs,Snacks,Worker,Richards-Gonzales,pcs,New,2025-05-25,0,,31
SKU1042,Moyer Card kg,Grocery,Look,Moyer,kg,Green,2023-07-09,1,180.0,94
SKU1043,Schneider-Bennett Could g,Snacks,Lead,Schneider-Bennett,g,XL,2023-04-19,0,,57
SKU1044,Mendez Table mg,Pharma,Issue,Mendez,mg,Classic,2025-06-11,1,180.0,233
SKU1045,"Deleon, Significant pcs",Electronics,My,"Deleon,",pcs,Mini,2024-01-26,0,,2414
SKU1046,"Rose, Difficult mg",Pharma,Identify,"Rose,",mg,Green,2025-10-07,1,30.0,119
SKU1047,Chung College pcs,Snacks,Foreign,Chung,pcs,Green,2025-07-09,0,,68
SKU1048,Aguilar-Murphy Often pcs,Pharma,Dark,Aguilar-Murphy,pcs,XL,2025-10-22,1,720.0,150
SKU1049,"Alexander, Collection L",Beverages,Power,"Alexander,",L,New,2025-05-27,1,,122
SKU1050,Valencia Degree pcs,Snacks,Clearly,Valencia,pcs,Classic,2025-03-09,0,,60
SKU1051,Woods-Garcia Use g,Snacks,Bank,Woods-Garcia,g,Classic,2023-01-20,0,,44
SKU1052,Gutierrez-Smith Prevent L,Beverages,Car,Gutierrez-Smith,L,New,2024-11-30,1,,138
SKU1053,"Bentley, Model L",Beverages,Education,"Bentley,",L,New,2024-01-16,1,,480
SKU1054,"French, Situation ml",Beverages,Market,"French,",ml,Classic,2024-05-11,1,,89
SKU1055,"White, Conference g",Snacks,House,"White,",g,New,2023-11-05,0,,60
SKU1056,May-Garcia Us g,Grocery,Down,May-Garcia,g,Mini,2023-10-15,1,365.0,130
SKU1057,Lee-Carter About pcs,Cosmetics,Picture,Lee-Carter,pcs,New,2023-06-03,0,,327
SKU1058,"Nguyen, Exist mg",Pharma,Center,"Nguyen,",mg,Mini,2025-04-13,1,720.0,171
SKU1059,Frye-Hampton Take ml,Cosmetics,Dog,Frye-Hampton,ml,XL,2023-08-08,0,,302
SKU1060,Jensen Return g,Grocery,Fall,Jensen,g,New,2025-11-05,1,720.0,112
SKU1061,Roman-Blevins Field mg,Pharma,Year,Roman-Blevins,mg,XL,2024-12-11,1,30.0,101
SKU1062,Garcia Lead L,Household,Or,Garcia,L,XL,2023-06-22,0,,157
SKU1063,"Duncan, Agency pcs",Cosmetics,Since,"Duncan,",pcs,New,2025-06-21,0,,249
SKU1064,Richards-Hill Involve pcs,Cosmetics,State,Richards-Hill,pcs,New,2023-06-30,0,,357
SKU1065,Knight-Zimmerman Major ml,Cosmetics,Over,Knight-Zimmerman,ml,Green,2024-10-21,0,,283
SKU1066,Moses-Holland Century pcs,Cosmetics,Where,Moses-Holland,pcs,Classic,2023-05-21,0,,144
SKU1067,Thomas-Brown As kg,Grocery,Action,Thomas-Brown,kg,Green,2024-02-03,1,365.0,89
SKU1068,Pearson-Conway Major kg,Grocery,Scene,Pearson-Conway,kg,XL,2023-08-08,1,720.0,12
SKU1069,"Daniels, Far ml",Beverages,Education,"Daniels,",ml,Classic,2023-06-20,1,,145
SKU1070,Camacho-Robinson Nothing mg,Pharma,Purpose,Camacho-Robinson,mg,New,2023-01-18,1,30.0,478
SKU1071,"Barnes, Bit g",Snacks,People,"Barnes,",g,Classic,2024-11-21,0,,33
SKU1072,"Rich, Of g",Grocery,Sea,"Rich,",g,Mini,2024-08-28,1,30.0,114
SKU1073,Baker-Levy Star g,Snacks,Policy,Baker-Levy,g,New,2025-04-19,0,,45
SKU1074,Turner-Green How ml,Cosmetics,Beautiful,Turner-Green,ml,XL,2023-01-06,0,,64
SKU1075,Alvarado-Fleming Rule ml,Beverages,Religious,Alvarado-Fleming,ml,New,2023-01-19,1,,85
SKU1076,Craig Turn ml,Cosmetics,Morning,Craig,ml,Mini,2023-05-05,0,,167
SKU1077,Stephenson Yet pcs,Snacks,Avoid,Stephenson,pcs,XL,2025-01-11,0,,66
SKU1078,Young Score g,Grocery,Affect,Young,g,Mini,2025-04-05,1,365.0,63
SKU1079,Arnold Statement L,Beverages,Social,Arnold,L,Green,2024-12-09,1,,98
SKU1080,Lucero Something pcs,Electronics,Suggest,Lucero,pcs,Mini,2025-05-18,0,,553
SKU1081,Martinez-Williamson Land pcs,Cosmetics,Ready,Martinez-Williamson,pcs,New,2025-05-02,0,,205
SKU1082,Brewer-Pacheco Machine kg,Grocery,South,Brewer-Pacheco,kg,New,2024-01-05,1,30.0,92
SKU1083,"Morrow, Happy pcs",Electronics,Worker,"Morrow,",pcs,XL,2025-10-20,0,,539
SKU1084,Anderson-Davis Choice L,Household,Music,Anderson-Davis,L,XL,2023-08-20,0,,129
SKU1085,Harrison Political pcs,Electronics,Positive,Harrison,pcs,New,2023-06-24,0,,1783
SKU1086,"Ramirez, Must pcs",Electronics,Language,"Ramirez,",pcs,XL,2024-11-02,0,,1066
SKU1087,Stewart-Whitney Here pcs,Pharma,Impact,Stewart-Whitney,pcs,Classic,2023-06-25,1,30.0,321
