Date,Product_Category,Product_Name,SKU_Code,Region,Units_Sold,Price_per_Unit,Revenue,Promotion_Flag,Festival_Season,Weather_Temp,Competitor_Price,Social_Sentiment
2022-12-11,Chocolates,Amul Almond Bar 40g,82147020,East,10,56,560,No,No,22.6,62,-0.9
2021-08-23,Others,Amul Ice Cream Cake 1kg,25444452,West,14,478,6692,Yes,No,21.4,529,0.06
2024-10-24,Butter & Spreads,Amul Cheese Spread Red Chilli Flakes 200g,70537390,North,7,71,497,No,No,26.4,73,-0.62
2024-02-08,Ice Creams,Amul Kulfi 60ml,68137847,South,11,113,1243,Yes,No,31.9,113,0.74
2024-01-16,Ghee & Cooking Essentials,Amul White Butter 500g,54796676,Central,10,786,7860,Yes,No,16.2,852,-0.06
2020-11-17,Chocolates,Amul India Twilight Tryst 150g,35651383,East,17,154,2618,Yes,No,25.2,151,-0.93
2023-02-27,Snacks & Savories,Amul Spicy Potato Chips 200g,37245757,Central,25,54,1350,No,No,31.4,52,-0.58
2024-08-13,Others,Amul A2 Cow Milk 1L,80405061,West,4,499,1996,No,No,20.2,526,0.83
2020-09-23,UHT & Long Life,Amul Mithai Mate UHT 200g,93684965,North,12,138,1656,No,No,30.7,149,-0.61
2024-02-21,Ice Creams,Amul Butter Scotch Ice Cream 1L,97994268,Central,14,302,4228,No,No,28.0,281,0.75
2021-11-29,Ghee & Cooking Essentials,Amul Buffalo Ghee 1L,11071426,Central,10,708,7080,No,No,36.1,774,-0.07
2023-11-13,Butter & Spreads,Amul Cheese Spread Red Chilli Flakes 200g,70537390,East,4,71,284,No,No,19.2,67,-0.11
2024-07-02,Others,Amul Happy Treats Veggie Stix 400g,31256377,West,14,467,6538,No,No,12.8,498,-0.33
2023-07-30,Snacks & Savories,Amul Cheesy Corn Puffs 150g,14921131,Central,26,591,15366,No,No,18.4,607,-0.2
2023-08-17,UHT & Long Life,Amul Gold UHT Milk 1L,41910047,East,9,138,1242,No,No,34.5,155,0.25
2024-05-07,Butter & Spreads,Amul Peanut Spread Creamy 200g,57348568,North,11,50,550,No,No,34.9,53,0.44
2025-07-09,Butter & Spreads,Amul Butter 100g,80016687,West,26,217,5642,No,No,37.1,220,-0.24
2020-12-06,Health & Nutrition,Amul Multigrain Dahi 200g,93245593,East,13,153,1989,No,No,29.8,152,0.08
2023-03-26,Dairy Products,Amul Malai Paneer 1kg,43280889,East,12,104,1248,No,No,26.7,100,-0.9
2024-08-05,Others,Amul Happy Treats Veggie Stix 400g,31256377,East,17,451,7667,No,No,23.1,501,0.29
2021-09-18,Dairy Products,Amul Mithai Mate Condensed Milk 400g,11288909,West,8,91,728,No,No,27.1,110,-0.16
2021-08-27,Butter & Spreads,Amul Cheese Spread Garlic 200g,93020688,South,13,201,2613,No,No,29.4,184,0.74
2021-05-21,Ghee & Cooking Essentials,Amul White Butter 500g,54796676,Central,10,721,7210,Yes,No,28.9,901,-0.11
2021-11-30,Butter & Spreads,Amul Butter 100g,80016687,West,26,214,5564,No,No,27.6,170,0.62
2024-05-22,Cheese & Cheese Products,Amul Mozzarella Cheese 200g,59239307,East,8,483,3864,Yes,No,36.5,540,0.76
2023-09-14,Chocolates,Amul Fruit & Nut Chocolate 150g,16443921,East,2,140,280,No,No,36.8,153,-0.15
2024-05-15,Bakery Items,Amul Cheese Danish 120g,18798487,South,16,51,816,No,No,32.8,47,-0.89
2024-07-19,Others,Amul Camel Milk Chocolate 150g,5752287,Central,13,129,1677,No,No,39.7,108,0.16
2022-07-23,Dairy Products,Amul Paneer 200g,18315080,Central,19,64,1216,No,No,34.2,69,0.5
2023-03-06,Chocolates,Amul Almond Bar 40g,82147020,West,8,59,472,No,No,39.3,58,-0.4
2021-11-02,Others,Amul Cheese Tin 500g,82806583,West,12,521,6252,No,No,31.8,477,-0.71
2021-01-21,Bakery Items,Amul Vanilla Muffin 90g,34223963,South,4,48,192,No,No,36.0,58,-0.37
