product_id,product_name,unit_price,product_category,supplier_name,supplier_id,order_date,order_quantity,order_status,delivery_date,cogs,inventory_level,reorder_level,lead_time_days,stockout_flag,inventory_valuation
P000001,Prada Shirt,61.14,Fashion,MetroTrade S00001,S00001,2024-01-31,39,Delivered,2024-02-14,34.47,181,22,14,0,6239.07
P000001,Prada Shirt,61.14,Fashion,MetroTrade S00001,S00001,2024-02-29,39,Placed,2024-03-14,43.26,210,22,14,0,9084.6
P000001,Prada Shirt,61.14,Fashion,MetroTrade S00001,S00001,2024-03-31,39,Placed,2024-04-14,34.94,247,22,14,0,8630.18
P000001,Prada Shirt,61.14,Fashion,MetroTrade S00001,S00001,2024-04-30,39,Delivered,2024-05-14,34.79,281,22,14,0,9775.99
P000001,Prada Shirt,61.14,Fashion,MetroTrade S00001,S00001,2024-05-31,39,Delivered,2024-06-14,43.69,313,22,14,0,13674.97
P000001,Prada Shirt,61.14,Fashion,MetroTrade S00001,S00001,2024-06-30,39,In Transit,2024-07-14,33.64,347,22,14,0,11673.08
P000001,Prada Shirt,61.14,Fashion,MetroTrade S00001,S00001,2024-07-31,39,Placed,2024-08-14,41.94,377,22,14,0,15811.38
P000001,Prada Shirt,61.14,Fashion,MetroTrade S00001,S00001,2024-08-31,39,Placed,2024-09-14,38.98,412,22,14,0,16059.76
P000001,Prada Shirt,61.14,Fashion,MetroTrade S00001,S00001,2024-09-30,39,Placed,2024-10-14,33.16,449,22,14,0,14888.84
P000001,Prada Shirt,61.14,Fashion,MetroTrade S00001,S00001,2024-10-31,39,Placed,2024-11-14,33.59,480,22,14,0,16123.2
P000001,Prada Shirt,61.14,Fashion,MetroTrade S00001,S00001,2024-11-30,39,Placed,2024-12-14,42.71,513,22,14,0,21910.23
P000001,Prada Shirt,61.14,Fashion,MetroTrade S00001,S00001,2024-12-31,39,In Transit,2025-01-14,44.51,545,22,14,0,24257.95
P000002,Bosch Car Cover,400.0,Automotive,InterGoods S00002,S00002,2024-01-31,84,Placed,2024-02-09,287.01,229,47,9,0,65725.29
P000002,Bosch Car Cover,400.0,Automotive,InterGoods S00002,S00002,2024-02-29,84,Delivered,2024-03-09,241.48,313,47,9,0,75583.24
P000002,Bosch Car Cover,400.0,Automotive,InterGoods S00002,S00002,2024-03-31,84,In Transit,2024-04-09,238.32,395,47,9,0,94136.4
P000002,Bosch Car Cover,400.0,Automotive,InterGoods S00002,S00002,2024-04-30,84,Delivered,2024-05-09,287.25,476,47,9,0,136731.0
