date,product_id,product_name,product_quantity,total_amount,discount_applied,tax_amount,transaction_count,region
2024-01-01,P000013,Sephora Cream,1,59.11,2.83,5.37,1,US
2024-01-01,P000026,TraderJoes Chocolate,1,53.2,2.5,5.7,1,UK
2024-01-01,P000029,Yonex Football,1,292.93,14.02,26.63,1,US
2024-01-01,P000036,NaturesBest Snack Pack,2,60.25,6.09,5.48,1,US
2024-01-01,P000046,Prada Watch,1,156.0,24.58,16.71,1,UK
2024-01-01,P000049,Instant Pot Blender,1,306.07,0.0,46.69,1,IN
2024-01-01,P000051,Johnson&Johnson Baby Monitor,1,54.44,2.56,5.83,1,UK
2024-01-01,P000056,Nike Bag,1,336.0,0.0,36.0,1,UK
2024-01-01,P000066,Under Armour Shoes,1,66.3,0.0,10.11,1,IN
2024-01-01,P000066,Under Armour Shoes,1,61.81,0.0,5.62,1,US
2024-01-01,P000080,CVSBrand Vitamins,1,203.54,0.0,21.81,1,UK
2024-01-01,P000089,KrogerBrand Chocolate,1,29.48,0.0,2.68,1,US
2024-01-01,P000093,Johnson&Johnson First Aid Kit,2,48.11,0.0,4.37,1,US
2024-01-01,P000095,Lenovo Phone,1,1795.21,0.0,163.2,1,US
2024-01-01,P000096,WholeFoods Cheese,1,53.1,5.0,8.1,1,IN
2024-01-01,P000105,LG Monitor,1,3469.2,60.0,529.2,1,IN
2024-01-01,P000119,Levi's Jacket,1,276.58,0.0,42.19,1,IN
2024-01-01,P000119,Levi's Jacket,1,252.67,4.69,22.97,1,US
2024-01-01,P000129,WholeFoods Milk,2,110.0,0.0,10.0,1,US
2024-01-01,P000131,Samsung Toaster,1,593.61,10.82,63.6,1,EU
2024-01-01,P000174,Under Armour Shirt,1,184.88,0.0,28.2,1,AU
2024-01-01,P000175,Philips Tablet,1,3540.0,0.0,540.0,1,AU
2024-01-01,P000178,Hamilton Beach Cookware,1,429.88,7.83,46.06,1,UK
2024-01-01,P000198,HarperCollins Biography,1,10.06,1.0,1.08,1,UK
2024-01-01,P000205,Gucci Jacket,2,708.0,0.0,108.0,1,AU
2024-01-01,P000210,KrogerBrand Cereal,1,11.33,0.0,1.03,1,US
2024-01-01,P000217,Nike Dress,1,225.7,0.0,34.43,1,IN
2024-01-01,P000221,Mattel Action Figure,1,212.8,10.0,22.8,1,UK
2024-01-01,P000233,Nike Shirt,1,93.17,0.0,8.47,1,US
2024-01-01,P000234,Bose Phone,1,3363.0,150.0,513.0,1,IN
2024-01-01,P000237,Dell Laptop,1,1327.69,161.65,142.25,1,EU
