transaction_id,product_id,customer_id,product_name,unit_price,product_quantity,discount_applied,tax_amount,total,transaction_date,region,city,mode_of_paymen,transaction_status,channel,delivery_type,refund_flag,num_items,total_amount,date_of_transaction,customer_id,region_y,city_y,mode_of_payment_y,transaction_status_y
T00000001,P001120,C004167,Random House Novel,21.79,1,4.36,3.14,20.57,2024-12-17,IN,Bengaluru,Wallet,Completed,Online,Home Delivery,0,1,20.57,2024-12-17,C004167,IN,Bengaluru,Wallet,Completed
T00000002,P000763,C001816,CVSBrand Protein Powder,200.0,1,0.0,20.0,220.0,2024-12-11,US,San Francisco,Apple Pay,Completed,Online,Home Delivery,0,1,220.0,2024-12-11,C001816,US,San Francisco,Apple Pay,Completed
T00000003,P001024,C001511,Sony Camera,691.03,1,13.82,121.9,799.11,2024-03-31,IN,Bengaluru,Debit Card,Completed,Online,Store Pickup,0,1,799.11,2024-03-31,C001511,IN,Bengaluru,Debit Card,Completed
T00000004,P001062,C003576,Pilot Notebook,35.33,2,0.0,7.07,77.73,2024-07-02,US,Chicago,Debit Card,Completed,In-store,Store Pickup,0,2,400.65,2024-07-02,C003576,US,Chicago,Debit Card,Completed
T00000004,P000722,C003576,Decathlon Tennis Racket,146.78,2,0.0,29.36,322.92,2024-07-02,US,Chicago,Debit Card,Completed,In-store,Store Pickup,0,2,400.65,2024-07-02,C003576,US,Chicago,Debit Card,Completed
T00000005,P000896,C002046,WholeFoods Chocolate,50.0,1,5.0,8.1,53.1,2024-12-18,AU,Melbourne,Credit Card,Completed,Online,Home Delivery,0,1,53.1,2024-12-18,C002046,AU,Melbourne,Credit Card,Completed
T00000006,P000228,C004065,NaturesBest Chocolate,40.18,2,8.04,8.68,81.0,2024-01-19,UK,Manchester,PayPal,Completed,In-store,Home Delivery,0,1,81.0,2024-01-19,C004065,UK,Manchester,PayPal,Completed
T00000007,P000434,C001001,GenericBrandA Water Bottle,37.56,1,0.0,6.76,44.32,2024-09-29,IN,Hyderabad,Debit Card,Completed,In-store,Home Delivery,0,1,44.32,2024-09-29,C001001,IN,Hyderabad,Debit Card,Completed
T00000008,P000426,C001238,Kenwood Knife Set,600.0,1,0.0,60.0,660.0,2024-07-04,US,Los Angeles,Credit Card,Completed,Online,Home Delivery,0,1,660.0,2024-07-04,C001238,US,Los Angeles,Credit Card,Completed
T00000009,P000934,C003119,Pilot Marker,46.27,1,0.0,8.33,54.6,2024-02-26,IN,Chennai,Debit Card,Completed,Online,Home Delivery,0,3,1917.02,2024-02-26,C003119,IN,Chennai,Debit Card,Completed
