product_id,product_name,product_unit_price,product_category,product_description,product_image,brand_name,sku,barcode,launch_date,is_active
P000001,Prada Shirt,61.14,Fashion,Bring before wall southern alone realize better great admit would administration.,https://images.unsplash.com/photo-1521335629791-ce4aec67dd47,Prada,SKU-000001,743416176061,2023-11-27,True
P000002,Bosch Car Cover,400.0,Automotive,Machine less before require suddenly me they economic project treatment attention push middle.,https://picsum.photos/400/400,Bosch,SKU-000002,118196959433,2023-12-01,False
P000003,Bosch Oil Filter,87.95,Automotive,Especially news popular loss great eat.,https://picsum.photos/400/400,Bosch,SKU-000003,609451049213,2023-08-02,True
P000004,Pilot Notebook,17.12,Office Supplies,Law morning affect meet accept century list help.,https://picsum.photos/400/400,Pilot,SKU-000004,634736672695,2023-04-21,True
P000005,Fender Guitar,560.69,Music,Baby market away Democrat agree get.,https://picsum.photos/400/400,Fender,SKU-000005,737867261095,2023-11-15,True
P000006,Hasbro Action Figure,200.0,Toys & Games,Whatever center figure always everybody southern concern.,https://picsum.photos/400/400,Hasbro,SKU-000006,490198544909,2023-04-04,True
P000007,KrogerBrand Cheese,11.66,Groceries,Feel summer single let none share many.,https://images.unsplash.com/photo-1572441710523-4cfa1a2b48b4,KrogerBrand,SKU-000007,662389355174,2023-10-21,True
P000008,KrogerBrand Snack Pack,50.0,Groceries,Staff live situation likely stage think keep sit spring fast buy control job.,https://cdn-icons-png.flaticon.com/512/1046/1046787.png,KrogerBrand,SKU-000008,515140176481,2023-07-14,True
P000009,Funko Board Game,77.95,Toys & Games,Voice billion subject heavy stage eight course.,https://picsum.photos/400/400,Funko,SKU-000009,338616916424,2023-08-07,True
P000010,TraderJoes Cereal,50.0,Groceries,Reflect special church traditional especially choice subject.,https://images.unsplash.com/photo-1542831371-d531d36971e6,TraderJoes,SKU-000010,437887232458,2022-09-23,True
P000011,LG Monitor,2670.15,Electronics,Soldier land audience house answer experience also medical because usually.,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5,LG,SKU-000011,397114425979,2023-07-27,True
P000012,KrogerBrand Cheese,21.63,Groceries,Figure leave one task read we big create though least.,https://images.unsplash.com/photo-1572441710523-4cfa1a2b48b4,KrogerBrand,SKU-000012,523325317549,2021-11-10,True
P000013,Sephora Cream,56.57,Beauty,Stand guess teach middle reflect company once few spend.,https://picsum.photos/400/400,Sephora,SKU-000013,149288765147,2021-10-22,True
P000014,KrogerBrand Cheese,50.0,Groceries,Check trade week line catch answer close certain national research commercial property.,https://cdn-icons-png.flaticon.com/512/1046/1046787.png,KrogerBrand,SKU-000014,401917641986,2023-08-28,True
P000015,Johnson&Johnson Pacifier,200.0,Baby,Point serious challenge describe item say.,https://picsum.photos/400/400,Johnson&Johnson,SKU-000015,683853972193,2023-09-18,True
P000016,Prada Dress,119.72,Fashion,Will push view trip evidence place fight five.,https://images.unsplash.com/photo-1503341455253-b2e723bb3dbb,Prada,SKU-000016,313206656378,2023-01-13,True
P000017,Johnson&Johnson Pain Relief,42.64,Health,Suggest stuff behavior employee improve tax everybody box heart degree respond onto appear.,https://picsum.photos/400/400,Johnson&Johnson,SKU-000017,271678138016,2021-08-16,True
P000018,Samsung Washing Machine,2413.44,Appliances,Discussion make herself able lose fear success still control pick church.,https://picsum.photos/400/400,Samsung,SKU-000018,180404725969,2023-10-13,True
P000019,Adidas Basketball,400.0,Sports,Hard over deal million upon leader property process soon rise produce billion happen.,https://cdn-icons-png.flaticon.com/512/1046/1046950.png,Adidas,SKU-000019,340681354138,2022-08-01,True
P000020,Random House Science Book,50.0,Books,Assume cause town onto woman send yet fear rather form watch family.,https://picsum.photos/400/400,Random House,SKU-000020,606570137070,2023-10-26,True
P000021,Samsung Monitor,281.33,Electronics,Meeting see authority really daughter member trial leader.,https://cdn-icons-png.flaticon.com/512/4202/4202836.png,Samsung,SKU-000021,323121426740,2023-09-20,True
P000022,Funko LEGO Set,189.68,Toys & Games,Service operation nature station either case agreement.,https://picsum.photos/400/400,Funko,SKU-000022,979688894612,2022-12-28,True
P000023,Bose Speaker,3000.0,Electronics,Professor analysis decade choice fine green.,https://cdn-icons-png.flaticon.com/512/4202/4202836.png,Bose,SKU-000023,325848758499,2023-02-26,True
P000024,Panasonic Speaker,3000.0,Electronics,Traditional such whatever end magazine often girl bar treat adult one television.,https://images.unsplash.com/photo-1512499617640-c2f999098c01,Panasonic,SKU-000024,617754144304,2023-01-25,True
