transaction_id,cancel_date,reason
tx2000207,2021-01-01 20:35:01,customer_request
tx2000292,2021-01-03 07:53:26,customer_request
tx2000318,2021-01-04 05:31:51,payment_failure
tx2000364,2021-01-02 08:51:38,customer_request
tx2000379,2021-01-02 15:47:48,fraud
tx2000397,2021-01-04 15:59:11,customer_request
tx2000539,2021-01-03 05:55:21,payment_failure
tx2000598,2021-01-03 18:35:28,customer_request
tx2000647,2021-01-04 05:24:08,fraud
tx2000792,2021-01-05 17:45:27,payment_failure
tx2000902,2021-01-06 20:45:32,payment_failure
tx2001127,2021-01-08 22:41:42,fraud
tx2001266,2021-01-07 12:29:29,payment_failure
tx2001339,2021-01-09 11:37:15,customer_request
tx2001544,2021-01-08 18:24:37,payment_failure
tx2001558,2021-01-08 15:44:04,payment_failure
tx2001571,2021-01-08 20:23:37,customer_request
tx2001683,2021-01-10 16:28:37,payment_failure
tx2001690,2021-01-09 12:50:12,customer_request
tx2001695,2021-01-10 08:09:57,customer_request
tx2001714,2021-01-10 07:01:45,payment_failure
tx2001898,2021-01-10 09:02:55,fraud
tx2002095,2021-01-12 02:47:53,payment_failure
tx2002112,2021-01-11 05:54:29,payment_failure
tx2002225,2021-01-12 17:33:30,fraud
tx2002334,2021-01-11 11:08:38,payment_failure
tx2002335,2021-01-13 12:31:56,customer_request
tx2002439,2021-01-13 00:08:42,fraud
tx2002532,2021-01-12 05:15:38,fraud
tx2002663,2021-01-13 13:15:07,payment_failure
tx2003005,2021-01-15 18:30:59,fraud
tx2003125,2021-01-15 07:06:25,payment_failure
tx2003214,2021-01-16 10:00:28,fraud
tx2003231,2021-01-16 17:30:22,payment_failure
tx2003410,2021-01-18 07:07:21,customer_request
tx2003420,2021-01-18 20:26:17,payment_failure
tx2003422,2021-01-18 11:40:45,fraud
tx2003430,2021-01-18 15:45:49,customer_request
tx2003511,2021-01-18 12:41:25,fraud
tx2003624,2021-01-19 08:32:44,payment_failure
tx2003689,2021-01-20 13:00:12,fraud
tx2003861,2021-01-19 23:07:55,fraud
tx2003902,2021-01-20 11:55:18,customer_request
tx2003912,2021-01-21 15:40:11,fraud
tx2003933,2021-01-21 19:45:16,customer_request
tx2004042,2021-01-20 23:57:03,payment_failure
tx2004108,2021-01-20 10:23:48,customer_request
tx2004204,2021-01-23 08:01:56,payment_failure
tx2004244,2021-01-23 15:26:53,customer_request
tx2004257,2021-01-23 03:12:05,payment_failure
tx2004347,2021-01-21 20:55:36,payment_failure
tx2004364,2021-01-22 00:21:04,payment_failure
tx2004491,2021-01-24 04:22:39,fraud
tx2004733,2021-01-24 19:09:25,payment_failure
