product_id,product_name,supplier_name,supplier_id,lead_time_days,reorder_level,stockout_level,available_stock,last_order_date,next_expected_delivery,sold_qty,needs_reorder
p100000,Accessory Purpose 0,supplier_5,s1773,7,89,33,0,2024-12-03,2024-12-10,3194,True
p100001,Kids Knowledge 1,supplier_27,s1974,15,144,21,0,2024-12-30,2025-01-14,2763,True
p100002,Kitchen Offer 2,supplier_26,s1370,20,157,67,0,2025-02-19,2025-03-11,2025,True
p100003,Makeup Bill 3,supplier_23,s1227,17,178,76,0,2025-09-19,2025-10-06,2955,True
p100004,Men Training 4,supplier_9,s1757,10,18,8,0,2024-10-23,2024-11-02,2566,True
p100005,Women His 5,supplier_38,s1194,18,102,16,0,2025-09-27,2025-10-15,4686,True
p100006,Makeup Common 6,supplier_47,s1744,12,85,21,0,2025-06-16,2025-06-28,2889,True
p100007,Women Development 7,supplier_40,s1189,14,138,26,0,2025-04-22,2025-05-06,2306,True
p100008,Laptop Discuss 8,supplier_48,s1436,18,154,64,0,2024-12-13,2024-12-31,2213,True
p100009,Beverages Attack 9,supplier_45,s1288,21,129,23,0,2025-08-22,2025-09-12,2666,True
p100010,Accessory Put 10,supplier_40,s1786,19,96,39,0,2025-01-28,2025-02-16,5233,True
p100011,Accessory Fire 11,supplier_26,s1568,13,52,19,0,2025-09-01,2025-09-14,1826,True
p100012,Makeup Food 12,supplier_43,s1564,12,117,37,0,2025-02-23,2025-03-07,2082,True
p100013,Furniture May 13,supplier_40,s1303,12,72,13,0,2025-05-06,2025-05-18,4281,True
p100014,Men End 14,supplier_50,s1852,7,165,35,0,2025-09-21,2025-09-28,2994,True
p100015,Beverages Almost 15,supplier_22,s1661,12,103,37,0,2024-12-30,2025-01-11,3659,True
p100016,Men Customer 16,supplier_21,s1813,10,70,9,0,2025-10-04,2025-10-14,2189,True
p100017,Laptop Billion 17,supplier_35,s1461,11,180,28,0,2025-04-13,2025-04-24,1784,True
p100018,Men Knowledge 18,supplier_25,s1445,14,51,17,0,2025-06-24,2025-07-08,2160,True
p100019,Kitchen Think 19,supplier_48,s1087,5,71,32,0,2024-10-26,2024-10-31,3711,True
p100020,Snacks Institution 20,supplier_23,s1265,24,56,21,0,2025-01-01,2025-01-25,2758,True
p100021,Makeup Same 21,supplier_37,s1271,8,92,25,0,2024-11-17,2024-11-25,4108,True
p100022,Snacks Movie 22,supplier_37,s1305,16,111,49,0,2025-08-09,2025-08-25,1957,True
p100023,Decor Particular 23,supplier_25,s1718,16,65,21,0,2025-02-26,2025-03-14,3179,True
p100024,Staples Would 24,supplier_32,s1084,16,158,47,0,2025-09-27,2025-10-13,3729,True
p100025,Makeup Cause 25,supplier_34,s1144,25,39,6,0,2025-03-12,2025-04-06,2782,True
p100026,Kids Technology 26,supplier_50,s1580,5,124,13,0,2025-03-11,2025-03-16,2782,True
p100027,Women Middle 27,supplier_21,s1481,17,17,5,0,2025-09-12,2025-09-29,3062,True
p100028,Mobile Site 28,supplier_23,s1936,8,110,22,0,2025-04-23,2025-05-01,3973,True
p100029,Kids Foot 29,supplier_28,s1520,10,60,25,0,2025-10-05,2025-10-15,3247,True
p100030,Snacks Pressure 30,supplier_28,s1140,7,66,24,0,2025-09-03,2025-09-10,4764,True
p100031,Women Window 31,supplier_37,s1726,15,67,31,0,2025-09-03,2025-09-18,2735,True
p100032,Laptop Decision 32,supplier_12,s1037,9,111,47,0,2025-05-30,2025-06-08,2558,True
p100033,Skincare Respond 33,supplier_49,s1316,21,128,39,0,2025-06-28,2025-07-19,3651,True
p100034,Staples Business 34,supplier_50,s1935,18,108,29,0,2025-09-26,2025-10-14,4202,True
p100035,Beverages Lawyer 35,supplier_8,s1890,26,169,77,0,2024-11-21,2024-12-17,1876,True
p100036,Staples Movement 36,supplier_24,s1315,16,70,17,0,2025-02-13,2025-03-01,3909,True
p100037,Staples Outside 37,supplier_37,s1746,16,6,1,0,2024-11-05,2024-11-21,4825,True
p100038,Laptop Much 38,supplier_4,s1830,13,150,50,0,2025-08-08,2025-08-21,2135,True
p100039,Snacks Choice 39,supplier_15,s1310,19,67,20,0,2024-10-23,2024-11-11,1779,True
p100040,Kids Parent 40,supplier_47,s1013,24,59,21,0,2025-08-25,2025-09-18,7523,True
p100041,Kitchen Start 41,supplier_15,s1505,9,154,27,0,2025-03-14,2025-03-23,3832,True
p100042,Makeup Free 42,supplier_2,s1714,5,166,24,0,2025-08-26,2025-08-31,2850,True
p100043,Skincare Space 43,supplier_5,s1397,12,30,10,0,2025-04-17,2025-04-29,5929,True
p100044,Staples Join 44,supplier_27,s1286,10,102,32,0,2025-10-03,2025-10-13,5339,True
p100045,Women Yes 45,supplier_43,s1105,15,151,73,0,2025-05-13,2025-05-28,2209,True
p100046,Kitchen Mention 46,supplier_10,s1932,12,89,36,0,2025-04-25,2025-05-07,4048,True
p100047,Skincare Prevent 47,supplier_34,s1109,9,53,10,0,2024-12-26,2025-01-04,2915,True
p100048,Kitchen Hundred 48,supplier_39,s1605,11,28,7,0,2025-05-29,2025-06-09,2697,True
p100049,Decor Statement 49,supplier_49,s1866,4,108,21,0,2025-07-14,2025-07-18,3228,True
p100050,Men Relationship 50,supplier_43,s1815,35,176,59,0,2025-09-18,2025-10-23,4506,True
p100051,Decor Building 51,supplier_10,s1823,8,185,86,0,2025-08-21,2025-08-29,3039,True
p100052,Skincare Bag 52,supplier_8,s1284,14,93,10,0,2025-08-31,2025-09-14,4740,True
p100053,Mobile Growth 53,supplier_10,s1174,11,88,32,0,2025-03-11,2025-03-22,2924,True
p100054,Laptop Second 54,supplier_42,s1317,15,148,65,0,2024-11-27,2024-12-12,2922,True
p100055,Skincare Least 55,supplier_25,s1181,34,49,16,0,2025-07-13,2025-08-16,3025,True
p100056,Men Subject 56,supplier_15,s1049,7,23,2,0,2024-12-12,2024-12-19,4314,True
p100057,Accessory Son 57,supplier_35,s1099,21,161,79,0,2024-11-17,2024-12-08,1805,True
p100058,Skincare Material 58,supplier_29,s1778,15,125,19,0,2025-01-01,2025-01-16,3169,True
p100059,Laptop Direction 59,supplier_17,s1513,25,167,42,0,2025-04-27,2025-05-22,2121,True
p100060,Skincare Arm 60,supplier_13,s1266,12,89,23,0,2025-04-21,2025-05-03,3094,True
p100061,Skincare Attention 61,supplier_17,s1367,21,148,37,0,2025-06-15,2025-07-06,4644,True
p100062,Mobile Present 62,supplier_12,s1296,24,135,39,0,2024-11-12,2024-12-06,3168,True
p100063,Skincare Sister 63,supplier_24,s1534,27,100,42,0,2025-02-16,2025-03-15,3580,True
p100064,Skincare Able 64,supplier_39,s1632,10,39,7,0,2025-01-17,2025-01-27,3039,True
p100065,Snacks Recently 65,supplier_26,s1859,15,190,26,0,2025-03-02,2025-03-17,4054,True
p100066,Makeup Smile 66,supplier_30,s1084,3,146,70,0,2025-08-23,2025-08-26,3717,True
p100067,Accessory Drop 67,supplier_21,s1593,19,199,95,0,2024-12-26,2025-01-14,2557,True
p100068,Kids Benefit 68,supplier_37,s1589,10,106,17,0,2025-03-02,2025-03-12,3264,True
p100069,Furniture Game 69,supplier_1,s1571,3,137,55,0,2025-04-05,2025-04-08,2315,True
p100070,Kids Cup 70,supplier_26,s1491,1,32,4,0,2024-11-07,2024-11-08,5684,True
p100071,Women Education 71,supplier_37,s1087,17,147,60,0,2025-05-13,2025-05-30,3628,True
p100072,Staples Class 72,supplier_37,s1333,16,164,34,0,2025-01-07,2025-01-23,2444,True
p100073,Snacks Available 73,supplier_27,s1314,13,192,91,0,2025-08-20,2025-09-02,2165,True
p100074,Decor Receive 74,supplier_37,s1382,25,39,18,0,2025-03-25,2025-04-19,4402,True
p100075,Men Item 75,supplier_31,s1478,15,132,51,0,2024-10-17,2024-11-01,2640,True
p100076,Kitchen Reach 76,supplier_22,s1118,31,176,26,0,2025-02-22,2025-03-25,3416,True
p100077,Mobile Never 77,supplier_2,s1685,15,23,9,0,2025-04-30,2025-05-15,2856,True
p100078,Makeup Represent 78,supplier_49,s1458,9,7,3,0,2025-06-24,2025-07-03,2373,True
p100079,Kitchen Billion 79,supplier_28,s1110,3,13,2,0,2024-11-26,2024-11-29,4245,True
