transaction_id,return_date,refund_amount,reason
tx2000025,2021-01-25 23:06:09,180.18,size_issue
tx2000066,2021-01-07 21:29:42,67.8,size_issue
tx2000072,2021-01-13 18:48:42,174.82,size_issue
tx2000131,2021-01-22 20:27:25,97.81,defective
tx2000290,2021-01-21 16:29:03,153.96,size_issue
tx2000319,2021-01-25 01:34:39,58.29,not_as_described
tx2000365,2021-01-07 15:28:37,1199.62,not_as_described
tx2000375,2021-01-30 03:07:14,52.63,defective
tx2000404,2021-01-05 21:05:33,82.3,not_as_described
tx2000426,2021-01-09 04:16:30,78.81,size_issue
tx2000488,2021-01-20 01:51:40,94.59,size_issue
tx2000567,2021-01-07 07:36:17,81.84,not_as_described
tx2000644,2021-01-22 03:45:39,139.26,defective
tx2000645,2021-01-14 07:49:57,284.68,size_issue
tx2000663,2021-01-31 20:19:01,65.31,not_as_described
tx2000768,2021-01-22 09:13:25,36.45,not_as_described
tx2000930,2021-02-03 12:50:54,119.95,defective
tx2000933,2021-01-07 01:39:17,85.34,size_issue
tx2000957,2021-01-31 18:33:41,44.47,size_issue
tx2000999,2021-02-03 19:25:57,55.56,not_as_described
tx2001005,2021-01-09 10:31:32,363.99,not_as_described
tx2001043,2021-01-13 03:52:50,272.83,defective
tx2001152,2021-02-01 20:42:19,90.18,defective
tx2001168,2021-01-11 08:05:20,54.83,defective
tx2001172,2021-01-16 05:30:15,74.16,not_as_described
tx2001241,2021-01-08 09:43:18,99.39,size_issue
tx2001413,2021-01-12 19:53:54,21.34,defective
tx2001433,2021-02-02 21:39:22,194.64,defective
tx2001441,2021-01-13 02:51:12,15.37,size_issue
tx2001449,2021-01-18 12:10:06,49.95,defective
tx2001488,2021-01-18 04:16:44,62.72,defective
tx2001564,2021-01-16 16:38:52,63.56,not_as_described
tx2001576,2021-02-01 00:50:38,53.66,defective
tx2001616,2021-01-13 02:43:00,59.57,size_issue
tx2001619,2021-01-23 23:06:00,52.81,not_as_described
tx2001661,2021-01-17 13:37:45,131.83,size_issue
tx2001709,2021-02-06 08:28:44,104.81,size_issue
tx2001728,2021-01-11 20:31:40,75.97,not_as_described
tx2001764,2021-01-25 04:26:25,113.35,defective
tx2001891,2021-02-04 16:56:38,104.57,size_issue
tx2001957,2021-01-30 21:52:28,82.41,defective
