date,total_sales_amount,total_quantity_sold,unique_customers,unique_products,num_transactions
2021-01-01,40877.76,499,234,137,239
2021-01-02,41107.18,471,238,132,239
2021-01-03,39880.82,422,228,139,232
2021-01-04,28672.08,400,177,114,181
2021-01-05,31003.6,392,197,117,199
2021-01-06,26784.0,331,176,113,179
2021-01-07,32715.89,359,198,118,200
2021-01-08,27094.95,303,181,110,181
2021-01-09,48569.16,583,239,137,244
2021-01-10,48488.58,567,253,136,254
2021-01-11,28437.84,342,191,115,191
2021-01-12,40239.23,516,214,123,217
2021-01-13,33002.31,415,196,118,197
2021-01-14,31811.97,361,199,119,202
2021-01-15,40281.15,458,194,115,197
2021-01-16,37786.7,473,239,134,246
2021-01-17,39327.07,502,221,126,226
2021-01-18,38411.1,426,197,121,200
2021-01-19,27961.6,348,168,105,169
2021-01-20,31613.94,365,184,113,185
2021-01-21,31862.57,373,183,117,187
2021-01-22,30519.88,347,202,129,202
2021-01-23,45417.72,518,249,139,253
2021-01-24,43345.96,609,256,135,258
2021-01-25,32857.69,389,193,123,195
2021-01-26,29484.94,359,184,107,187
2021-01-27,36808.83,403,196,118,196
2021-01-28,33201.47,402,206,122,209
2021-01-29,28911.04,356,215,138,216
2021-01-30,41564.71,526,268,142,271
2021-01-31,43021.840000000004,546,287,139,289
2021-02-01,34803.340000000004,422,219,130,219
2021-02-02,36269.83,481,210,123,211
2021-02-03,37825.17,429,216,125,218
2021-02-04,29188.56,363,181,118,183
2021-02-05,36050.67,461,201,118,203
2021-02-06,37475.52,472,245,139,251
2021-02-07,40515.76,491,277,151,282
2021-02-08,40125.22,453,219,128,224
2021-02-09,41084.96,453,229,138,234
2021-02-10,34422.8,443,191,126,192
2021-02-11,26300.71,344,206,127,207
2021-02-12,39489.6,481,237,138,240
2021-02-13,43758.44,548,280,147,290
2021-02-14,50503.93,597,284,150,288
2021-02-15,51227.33,517,232,128,232
2021-02-16,32859.7,397,217,126,218
2021-02-17,30224.4,378,222,128,225
2021-02-18,26470.57,335,190,120,191
2021-02-19,33388.39,382,213,133,214
2021-02-20,47584.25,556,294,148,299
2021-02-21,41358.15,508,269,147,272
2021-02-22,31736.53,373,200,123,201
2021-02-23,31048.87,367,209,130,214
2021-02-24,35482.95,416,207,133,207
2021-02-25,32376.26,393,226,124,230
2021-02-26,35610.5,444,193,125,196
2021-02-27,43338.15,504,282,142,287
2021-02-28,42147.09,525,284,154,289
2021-03-01,41346.99,446,221,132,222
2021-03-02,40389.93,536,208,135,213
2021-03-03,36643.5,455,216,131,218
2021-03-04,30986.63,346,221,142,224
2021-03-05,28594.739999999998,360,203,128,205
2021-03-06,60304.25,733,325,150,331
2021-03-07,44578.26,558,301,153,301
2021-03-08,35648.97,430,219,123,222
2021-03-09,27855.14,310,213,131,216
2021-03-10,33345.17,371,204,132,206
2021-03-11,35961.840000000004,424,192,126,194
2021-03-12,26746.27,311,197,116,200
2021-03-13,50017.41,631,295,147,299
2021-03-14,51403.53,616,281,149,286
2021-03-15,35701.19,445,229,139,232
2021-03-16,41903.47,437,214,129,218
2021-03-17,31380.36,369,194,119,198
2021-03-18,34350.81,392,220,130,221
2021-03-19,27828.77,314,193,119,196
2021-03-20,47067.28,578,269,136,273
2021-03-21,42393.67,470,283,143,285
2021-03-22,38024.7,450,218,132,221
2021-03-23,35499.19,420,238,126,238
2021-03-24,39585.76,487,241,136,241
2021-03-25,36325.99,434,218,127,222
2021-03-26,33980.78,382,224,132,230
2021-03-27,43226.96,510,310,155,313
2021-03-28,35981.26,422,287,152,292
2021-03-29,26382.17,341,189,124,191
2021-03-30,36841.01,465,252,142,255
2021-03-31,28792.86,359,212,135,216
2021-04-01,34997.47,413,226,127,226
2021-04-02,34133.65,386,191,111,193
2021-04-03,46944.62,561,274,152,277
2021-04-04,45729.06,506,270,143,272
2021-04-05,38465.26,427,236,133,240
2021-04-06,45115.52,497,255,141,256
2021-04-07,30303.7,342,206,124,207
2021-04-08,38045.19,482,255,138,256
