month,total_sales_amount,total_quantity_sold,num_transactions,avg_order_value
2021-01-01,1111063.58,13361,6641,167.3036560758922
2021-02-01,1042667.65,12533,6517,159.99196716280497
2021-03-01,1159088.86,13802,7379,157.0793955820572
2021-04-01,1188891.66,13863,7241,164.18887722690235
2021-05-01,1203902.06,13982,7299,164.94068502534594
2021-06-01,984205.03,11722,6285,156.59586793953858
2021-07-01,925075.83,11082,5704,162.1801946002805
2021-08-01,811441.03,9815,5073,159.952893751232
2021-09-01,733118.68,8867,4518,162.26619743249228
2021-10-01,758754.85,9280,4688,161.8504372866894
2021-11-01,937874.88,11411,5888,159.2858152173913
2021-12-01,1041244.88,12520,6319,164.7800094951733
2022-01-01,1052370.8699999999,12539,6509,161.67934705791978
2022-02-01,1072660.66,12564,6420,167.0810996884735
2022-03-01,1172704.09,14326,7470,156.98849933065597
2022-04-01,1224152.67,14527,7463,164.0295685381214
2022-05-01,1184838.11,13954,7245,163.53873153899244
2022-06-01,1027211.04,12267,6186,166.0541610087294
2022-07-01,970143.67,11530,5711,169.8728191209946
2022-08-01,799383.76,9522,5058,158.04344800316332
2022-09-01,708435.68,8197,4402,160.93495683780102
2022-10-01,751211.41,8775,4663,161.1004524983916
2022-11-01,928929.47,11119,5874,158.1425723527409
2022-12-01,1030846.34,12134,6447,159.89550798821156
2023-01-01,1024071.34,12365,6414,159.66188649828499
2023-02-01,1016451.98,12164,6419,158.35051877239445
2023-03-01,1172491.87,14084,7301,160.5933255718395
2023-04-01,1243073.1,14757,7490,165.96436582109482
2023-05-01,1100303.78,12970,7098,155.01602986756834
2023-06-01,1017138.53,12446,6299,161.47619145896175
2023-07-01,958855.91,11750,5841,164.15954631056326
2023-08-01,821055.71,9721,5211,157.5620245634235
2023-09-01,723887.71,8756,4465,162.12490705487122
2023-10-01,784344.9,9325,4651,168.64005590195657
2023-11-01,940608.96,11547,5736,163.98343096234308
2023-12-01,1010015.59,12422,6272,161.03564891581632
2024-01-01,1029202.6799999999,12509,6461,159.29464169633184
2024-02-01,1058767.54,12584,6603,160.34643949719825
2024-03-01,1242582.82,14913,7839,158.51292511799974
2024-04-01,1136649.38,13480,7098,160.13657086503238
2024-05-01,1093468.09,13074,6990,156.43320314735337
2024-06-01,1052881.02,12245,6342,166.01719016083254
2024-07-01,974312.86,11475,5788,168.33325155494126
2024-08-01,813619.83,9692,5089,159.87813519355473
2024-09-01,788799.77,9215,4692,168.11589300937766
2024-10-01,708417.29,8430,4494,157.636246105919
2024-11-01,985783.37,11694,5739,171.76918801184874
2024-12-01,1002798.86,12008,6333,158.34499605242382
2025-01-01,1030507.65,12366,6505,158.41777863182168
2025-02-01,1029444.25,12052,6530,157.64843032159266
2025-03-01,1223199.76,14821,7399,165.3196053520746
2025-04-01,1164800.37,13765,7248,160.70645281456956
2025-05-01,1176385.3,13902,7151,164.50640469864356
2025-06-01,1019931.3,12229,6557,155.548467286869
2025-07-01,948080.62,11314,5810,163.18082960413082
2025-08-01,784455.29,9528,5020,156.2659940239044
2025-09-01,743948.22,8884,4529,164.26324133362772
2025-10-01,323150.07,3802,1806,178.93137873754154
