Date,Product_Category,Product_Name,SKU_Code,Region,Units_Sold,Price_per_Unit,Revenue,Promotion_Flag,Festival_Season,Weather_Temp,Competitor_Price,Social_Sentiment
2020-09-01,Butter & Spreads,Amul Cheese Spread Yummy Plain 200g,83734632,West,17,162.54,2763.18,No,None,15.2,163.06,-0.04
2020-09-01,Bakery Items,Amul Chocolate Donut 80g,28937579,East,11,417.44,4591.84,No,None,26.5,437.54,-0.46
2020-09-01,Butter & Spreads,Amul Butter 500g,79291279,West,17,187.64,3189.8799999999997,No,None,14.1,197.63,-0.75
2020-09-01,UHT & Long Life,Amul Cream Tetra Pack 250ml,64829395,West,15,157.45,2361.75,No,None,17.2,134.14,0.28
2020-09-01,Beverages,Amul Kool Saffron Milk 200ml,79195263,East,15,130.3,1954.5000000000002,No,None,24.1,118.71,0.82
2020-09-02,Dairy Products,Amul Masti Buttermilk 500ml,26598550,South,5,100.66,503.29999999999995,No,None,35.9,96.23,-0.79
2020-09-02,Bakery Items,Amul Butter Croissant 80g,61133075,South,18,188.9,3400.2000000000003,No,None,39.8,214.01,0.73
2020-09-02,UHT & Long Life,Amul Slim UHT Milk 1L,45319204,South,16,154.19,2467.04,No,None,20.5,169.17,-0.17
2020-09-02,Probiotic & Health Range,Amul Greek Yogurt Blueberry 100g,21365294,West,30,235.48,7064.4,No,None,33.7,236.4,0.11
2020-09-02,Cheese & Cheese Products,Amul Gouda Cheese 200g,78916050,North,10,460.29,4602.900000000001,Yes,None,19.0,536.76,0.63
2020-09-03,Others,Amul Happy Treats Veggie Stix 400g,31256377,North,27,534.4,14428.8,Yes,None,34.0,500.33,-0.43
2020-09-03,Beverages (New Flavors),Amul Choco Milk 200ml,42543602,West,4,301.56,1206.24,No,None,39.1,278.12,-0.38
2020-09-03,Beverages (New Flavors),Amul Mango Lassi 250ml,31363198,Central,9,621.1,5589.900000000001,No,None,26.6,589.83,0.28
2020-09-03,Probiotic & Health Range,Amul Greek Yogurt Blueberry 100g,21365294,West,18,266.18,4791.24,No,None,36.7,280.42,0.16
2020-09-03,Others,Amul A2 Cow Milk 1L,80405061,South,14,461.19,6456.66,No,None,38.5,442.02,0.35
2020-09-04,Specialty Products,Amul Shrikhand Mango 500g,69924743,East,7,412.98,2890.86,Yes,None,25.3,451.37,-0.41
2020-09-04,Bakery Items,Amul Vanilla Muffin 90g,34223963,West,14,53.61,750.54,No,None,19.4,55.67,0.57
